product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Honeycrisp Apple, 1 Each",B000RGZMTQ,1.69,4.7 out of 5 stars,"19,389",https://www.amazon.com/produce-aisle-mburring-Honeycrisp-Medium/dp/B000RGZMTQ/ref=sr_1_1_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-1,https://m.media-amazon.com/images/I/71PxRvQMaoL._AC_UL320_.jpg
"Fresh Brand Organic Honeycrisp Apples, 2 lb",B08GHD4KHX,8.29,4.6 out of 5 stars,"4,231",https://www.amazon.com/Fresh-Brand-Organic-Honeycrisp-Apples/dp/B08GHD4KHX/ref=sr_1_2_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-2,https://m.media-amazon.com/images/I/71Jbt0rmwsL._AC_UL320_.jpg
"Fresh Brand Gala Apples, 3 lb",B07XW1R4VL,5.69,4.6 out of 5 stars,"14,325",https://www.amazon.com/Fresh-Brand-Gala-Apples/dp/B07XW1R4VL/ref=sr_1_3_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-3,https://m.media-amazon.com/images/I/71ee6r0HOML._AC_UL320_.jpg
Apple Gala Bag Organic,B0787WZD37,5.99,4.6 out of 5 stars,"9,912",https://www.amazon.com/Apple-Gala-Bag-Organic-Pound/dp/B0787WZD37/ref=sr_1_4_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-4,https://m.media-amazon.com/images/I/71EDcadrWFL._AC_UL320_.jpg
"PRODUCE Organic Fuji Apples Bag, 48 OZ",B07Q2PYR5Q,5.99,4.5 out of 5 stars,"6,049",https://www.amazon.com/Apple-Fuji-Bag-Organic-Ounce/dp/B07Q2PYR5Q/ref=sr_1_5_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-5,https://m.media-amazon.com/images/I/71PM6O3qYhL._AC_UL320_.jpg
"Fresh Brand Organic Gala Apples, 2 lb",B08GH7R8CR,5.69,4.7 out of 5 stars,"5,320",https://www.amazon.com/Fresh-Brand-Organic-Gala-Apples/dp/B08GH7R8CR/ref=sr_1_6_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-6,https://m.media-amazon.com/images/I/71dHgWpMXpL._AC_UL320_.jpg
"Fresh Brand Granny Smith Apples, 3 lb",B07XW19QBH,6.49,4.7 out of 5 stars,"7,376",https://www.amazon.com/Fresh-Brand-Granny-Smith-Apples/dp/B07XW19QBH/ref=sr_1_7_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-7,https://m.media-amazon.com/images/I/71LTrjOZIML._AC_UL320_.jpg
"Fresh Brand Honeycrisp Apples, 3 lb",B07XW1BZR5,9.39,4.6 out of 5 stars,"5,069",https://www.amazon.com/Fresh-Brand-Honeycrisp-Apples/dp/B07XW1BZR5/ref=sr_1_8_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-8,https://m.media-amazon.com/images/I/71GeHT6ps7L._AC_UL320_.jpg
"Organic Fuji Apples, 1 Each",B000YTXXDI,1.44,4.7 out of 5 stars,"18,819",https://www.amazon.com/Organic-Fuji-Apple-One-Medium/dp/B000YTXXDI/ref=sr_1_9_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-9,https://m.media-amazon.com/images/I/81dNi1sx3CL._AC_UL320_.jpg
"Fresh Brand Organic Fuji Apples, 2 lb",B08GHD5MSJ,5.69,4.6 out of 5 stars,"6,307",https://www.amazon.com/Fresh-Brand-Organic-Fuji-Apples/dp/B08GHD5MSJ/ref=sr_1_10_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-10,https://m.media-amazon.com/images/I/71fF0eDtNDL._AC_UL320_.jpg
Organic Pink Lady Apples,B005KCIHTY,1.26,4.6 out of 5 stars,"5,197",https://www.amazon.com/Organic-Pink-Lady-Apple-Medium/dp/B005KCIHTY/ref=sr_1_11_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-11,https://m.media-amazon.com/images/I/8142OOSOQwL._AC_UL320_.jpg
Organic Cosmic Crisp Apples,B0829RV69F,1.90,4.7 out of 5 stars,593,https://www.amazon.com/PRODUCE-Organic-Cosmic-Crisp-Apples/dp/B0829RV69F/ref=sr_1_12_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-12,https://m.media-amazon.com/images/I/41lBBNQJX5L._AC_UL320_.jpg
"South Organic Fruits, Organic Apple Honeycrisp, 48 Ounce Bag",B07L4VN69V,8.99,4.7 out of 5 stars,719,https://www.amazon.com/Apple-Sugarbee-Organic-1-Each/dp/B07L4VN69V/ref=sr_1_13_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-13,https://m.media-amazon.com/images/I/71FSmdJu5cL._AC_UL320_.jpg
Ginger Gold Apples,B00E3K2OZW,0.78,4.7 out of 5 stars,26,https://www.amazon.com/Local-Northeast-Ginger-Apple-Large/dp/B00E3K2OZW/ref=sr_1_14_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-14,https://m.media-amazon.com/images/I/61TPozgJZTL._AC_UL320_.jpg
"Fuji Apple, 1 Each",B001W3JEKG,0.99,4.6 out of 5 stars,"5,263",https://www.amazon.com/produce-aisle-Fuji-Apple-Medium/dp/B001W3JEKG/ref=sr_1_15_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-15,https://m.media-amazon.com/images/I/81pO3uqRDML._AC_UL320_.jpg
"Granny Smith Organic Apple, 1 Each",B003TQA73M,1.02,4.7 out of 5 stars,"8,076",https://www.amazon.com/Organic-Granny-Smith-Apple-Medium/dp/B003TQA73M/ref=sr_1_16_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-16,https://m.media-amazon.com/images/I/71BuUTVQU4L._AC_UL320_.jpg
"Fresh Brand – Sliced Apples, 14 oz",B08331JSDD,4.11,4.3 out of 5 stars,"2,295",https://www.amazon.com/Fresh-Brand-Sliced-Apples-14/dp/B08331JSDD/ref=sr_1_17_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-17,https://m.media-amazon.com/images/I/61eN9yGEsjL._AC_UL320_.jpg
"Organic Granny Smith Apples, 3 LB Bag",B08MTSD2QG,6.99,4.6 out of 5 stars,"3,260",https://www.amazon.com/Organic-Granny-Smith-Apples-Bag/dp/B08MTSD2QG/ref=sr_1_18_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-18,https://m.media-amazon.com/images/I/71JHXAU6PrL._AC_UL320_.jpg
"Envy Apples Bag, 2lb",B00WSU2M24,4.99,4.6 out of 5 stars,"3,040",https://www.amazon.com/Local-Northeast-Jonagold-Apples-Bag/dp/B00WSU2M24/ref=sr_1_19_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-19,https://m.media-amazon.com/images/I/71gcGpnE02L._AC_UL320_.jpg
"Gala Apples Fresh Produce Fruit, 3 LB Bag",B007OC5X40,17.81,3.7 out of 5 stars,283,https://www.amazon.com/Gala-Apples-Fresh-Produce-Fruit/dp/B007OC5X40/ref=sr_1_20?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-20,https://m.media-amazon.com/images/I/918YNa3bAaL._AC_UL320_.jpg
"Izze Sparkling Juice, Apple, Multi, 8.4 Fl Oz (Pack of 24)",B0014WYY1E,29.94,4.7 out of 5 stars,"19,666",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNjUwMTY5MDgxODYwODg6MTY5MTgwNjQ1MzpzcF9tdGY6MzAwMDE1MjEyMzk0NzAyOjowOjo&url=%2FIZZE-Sparkling-Juice-Apple-Count%2Fdp%2FB0014WYY1E%2Fref%3Dsr_1_21_sspa%3Fcrid%3D3AIY1DHOK4K2I%26keywords%3Dapples%26qid%3D1691806453%26sprefix%3D%252Caps%252C58%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/91klGdW3bbL._AC_UL320_.jpg
MW Polar Fuji Apple in Light Syrup 10oz (Pack of 12),B091MB98KN,33.50,4.6 out of 5 stars,31,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNjUwMTY5MDgxODYwODg6MTY5MTgwNjQ1MzpzcF9tdGY6MjAwMDkyMzU4MDI1MzIxOjowOjo&url=%2FFuji-Apple-LS-10oz-Pack%2Fdp%2FB091MB98KN%2Fref%3Dsr_1_22_sspa%3Fcrid%3D3AIY1DHOK4K2I%26keywords%3Dapples%26qid%3D1691806453%26sprefix%3D%252Caps%252C58%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/61tqD0b8rDL._AC_UL320_.jpg
PRODUCE Cortland Apple,B07FZGVVVD,0.73,4.6 out of 5 stars,50,https://www.amazon.com/Produce-PRODUCE-Cortland-Apple/dp/B07FZGVVVD/ref=sr_1_23_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-23,https://m.media-amazon.com/images/I/81-j+l-tBsL._AC_UL320_.jpg
"Gala Apple, 1 Each",B001W3JFLO,0.99,4.6 out of 5 stars,"4,650",https://www.amazon.com/Produce-Gala-Apples-1-Each/dp/B001W3JFLO/ref=sr_1_24_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-24,https://m.media-amazon.com/images/I/81HTk7QPaaL._AC_UL320_.jpg
"Fresh Brand Organic Granny Smith Apples, 32 Ounce",B08GHP4J11,5.69,4.7 out of 5 stars,"3,927",https://www.amazon.com/Fresh-Brand-Organic-Granny-Apples/dp/B08GHP4J11/ref=sr_1_25_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-25,https://m.media-amazon.com/images/I/71k9+Nwp6rL._AC_UL320_.jpg
Organic Envy Apples,B07FZKSH9S,1.52,4.6 out of 5 stars,"5,477",https://www.amazon.com/Produce-PRODUCE-Organic-Envy-Apple/dp/B07FZKSH9S/ref=sr_1_26_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-26,https://m.media-amazon.com/images/I/81LG4BC5MDL._AC_UL320_.jpg
"That’s it. Crunchables Fruit Snacks for Kids 100% Organic Apple, Deliciously Healthy and Light, Plant-Based,Non-Gmo, Gluten Free, USDA Approved Snacks 24 Packs (8.5 g)",B085T84RJN,16.99,3.9 out of 5 stars,"1,106",https://www.amazon.com/Thats-Crunchables-Deliciously-Plant-Based-Approved/dp/B085T84RJN/ref=sr_1_27?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-27,https://m.media-amazon.com/images/I/81zMEl1CQaL._AC_UL320_.jpg
"Granny Smith Apple, 1 Count",B0040QYLJ6,1.19,4.7 out of 5 stars,"1,353",https://www.amazon.com/Granny-Smith-Apple-One-Medium/dp/B0040QYLJ6/ref=sr_1_28_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-28,https://m.media-amazon.com/images/I/81N4hYrr+xL._AC_UL320_.jpg
"Firlar Artificial Fruits, 10 Pcs Fake Fruit Apples, Artificial Green Apple Model Faux Green Apple, Lifelike Fake Decorative Fruits for Home Kitchen Party Photography Prop Wedding Decoration",B09GYFKBVR,11.99,3.0 out of 5 stars,3,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNjUwMTY5MDgxODYwODg6MTY5MTgwNjQ1MzpzcF9tdGY6MzAwMDAyMjEyMjIzNjAyOjowOjo&url=%2FFirlar-Artificial-Decorative-Photography-Decoration%2Fdp%2FB09GYFKBVR%2Fref%3Dsr_1_29_sspa%3Fcrid%3D3AIY1DHOK4K2I%26keywords%3Dapples%26qid%3D1691806453%26sprefix%3D%252Caps%252C58%26sr%3D8-29-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/417rSjdj5VL._AC_UL320_.jpg
"Toopify 16PCS Artificial Red Apples, Plastic Fruit,Fake Fruit Lifelike Simulation Apples for Home Kitchen Table Basket Decoration, 3.43"" x 2.95""",B07X1XBGCV,22.99,4.7 out of 5 stars,875,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNjUwMTY5MDgxODYwODg6MTY5MTgwNjQ1MzpzcF9tdGY6MzAwMDA2MDg4MDE2MTAyOjowOjo&url=%2FToopify-Artificial-Lifelike-Simulation-Decoration%2Fdp%2FB07X1XBGCV%2Fref%3Dsr_1_30_sspa%3Fcrid%3D3AIY1DHOK4K2I%26keywords%3Dapples%26qid%3D1691806453%26sprefix%3D%252Caps%252C58%26sr%3D8-30-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/71U0lDuwxoL._AC_UL320_.jpg
"PRODUCE Organic Honeycrisp Apples, 48 OZ",B0B4TV7VG5,8.99,5.0 out of 5 stars,1,https://www.amazon.com/KOPKE-Organic-Honeycrisp-Apples-48/dp/B0B4TV7VG5/ref=sr_1_31_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-31,https://m.media-amazon.com/images/I/41eF4zB44RL._AC_UL320_.jpg
"Bare Baked Crunchy Apple Fruit Snack Pack, Gluten Free Snacks, Fujis & Reds, 0.53 Ounce (Pack of 16)",B0829QZFM7,21.69,4.3 out of 5 stars,"13,880",https://www.amazon.com/Baked-Crunchy-Apple-Chips-0-53oz/dp/B0829QZFM7/ref=sr_1_32?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-32,https://m.media-amazon.com/images/I/81rV8yuAK4L._AC_UL320_.jpg
"Mott's Applesauce, 4 Ounce Cup, 18 Count",B01EOW6OK4,6.98,4.7 out of 5 stars,"15,584",https://www.amazon.com/Motts-Applesauce-Ounce-Cup-Count/dp/B01EOW6OK4/ref=sr_1_33?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-33,https://m.media-amazon.com/images/I/51Uld+OhG8L._AC_UL320_.jpg
Seneca Original Apple Chips | Made from Fresh 100% Red Delicious Apples | Yakima Valley Orchards | Seasonally Picked | Crisped,B08895WCW7,24.58,4.3 out of 5 stars,"1,275",https://www.amazon.com/Seneca-Delicious-Seasonally-Perfection-Foil-Lined/dp/B08895WCW7/ref=sr_1_34?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-34,https://m.media-amazon.com/images/I/81Goew0igAL._AC_UL320_.jpg
"Bare Baked Crunchy Fruit Snack Pack, Gluten Free, Apples, Bananas, and Coconut Flavors, 0.53 Ounce (Pack of 16)",B0829QQHCS,16.11,4.3 out of 5 stars,"13,880",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNjUwMTY5MDgxODYwODg6MTY5MTgwNjQ1MzpzcF9tdGY6MjAwMTYzMjA4MDM4MTk4OjowOjo&url=%2FBare-Crunchy-Variety-Bananas-Coconut%2Fdp%2FB0829QQHCS%2Fref%3Dsr_1_35_sspa%3Fcrid%3D3AIY1DHOK4K2I%26keywords%3Dapples%26qid%3D1691806453%26sprefix%3D%252Caps%252C58%26sr%3D8-35-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/81zBv1-9OBL._AC_UL320_.jpg
Macintosh Apples,B07FZ1SLWB,0.77,4.5 out of 5 stars,580,https://www.amazon.com/Produce-PRODUCE-Apple-Macintosh/dp/B07FZ1SLWB/ref=sr_1_36_f3_0o_wf?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-36,https://m.media-amazon.com/images/I/81vP6b0-8XL._AC_UL320_.jpg
"Nature's Path Organic Gluten Free Instant Oatmeal, Spiced Apple + Flax, 8 Count (Pack of 1)",B06XRCZGWP,4.69,4.6 out of 5 stars,"1,532",https://www.amazon.com/Natures-Path-Organic-Gluten-Free-Instant/dp/B06XRCZGWP/ref=sr_1_37?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-37,https://m.media-amazon.com/images/I/91wvFboCkVL._AC_UL320_.jpg
"Apple, 1 Each",B001W3T35C,1.19,4.5 out of 5 stars,419,https://www.amazon.com/Pink-Lady-Apple-One-Medium/dp/B001W3T35C/ref=sr_1_38_f3_0o_fs?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-38,https://m.media-amazon.com/images/I/71SnPzalQNL._AC_UL320_.jpg
"Mother Earth Products Freeze Dried Apples, Net Wt 3oz (85g)",B008473XNC,18.40,4.3 out of 5 stars,"1,008",https://www.amazon.com/Mother-Earth-Products-Freeze-Apples/dp/B008473XNC/ref=sr_1_39?crid=3AIY1DHOK4K2I&keywords=apples&qid=1691806453&sprefix=%2Caps%2C58&sr=8-39,https://m.media-amazon.com/images/I/81zu5Yb+k7L._AC_UL320_.jpg
