product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Wicked Cutz Bacon Jerky Variety Pack, Tender, Flavorful Premium Craft Jerky, (5) High Protein, Gluten Free Flavors, Sriracha, Applewood Smoked, Breakfast, Old Fashioned Maple Bacon , Smoked BBQ Jerky, 5 Bags, 2oz Each",B0BSVRPQY1,39.99,4.0 out of 5 stars,94,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4Njg3Nzk4MzI4OTIxNzk5OjE2OTE4MTM1ODI6c3BfYXRmOjIwMDE3NDc1ODcwOTI5ODo6MDo6&url=%2FWicked-Cutz-Flavorful-Applewood-Breakfast%2Fdp%2FB0BSVRPQY1%2Fref%3Dsr_1_1_sspa%3Fcrid%3D24DEPFWPTYOE6%26keywords%3Dbacon%26qid%3D1691813582%26sprefix%3D%252Caps%252C67%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/91M4qO1mowL._AC_UL400_.jpg
Hormel Black Label Fully Cooked Bacon (72 Slices),B07WYKQBSC,15.99,4.6 out of 5 stars,"4,827",https://www.amazon.com/Hormel-Black-Label-Fully-Cooked/dp/B07WYKQBSC/ref=sr_1_2?crid=24DEPFWPTYOE6&keywords=bacon&qid=1691813582&sprefix=%2Caps%2C67&sr=8-2,https://m.media-amazon.com/images/I/91s8EmJnXFL._AC_UL400_.jpg
"365 by Whole Foods Market, Pork Bacon Center Cut Smokehouse Uncured, 12 Ounce",B074H5GZ7P,6.99,4.6 out of 5 stars,"18,858",https://www.amazon.com/365-Everyday-Value-Smokehouse-Bacon/dp/B074H5GZ7P/ref=sr_1_3_f3_0o_wf_mod_primary_alm?crid=24DEPFWPTYOE6&keywords=bacon&qid=1691813582&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sprefix=%2Caps%2C67&sr=8-3,https://m.media-amazon.com/images/I/81H5JhPMxUL._AC_UL400_.jpg
"Hormel Natural Choice Fully Cooked Uncured Bacon, 2.5 Oz",B07KPDWKWB,4.29,4.5 out of 5 stars,"1,934",https://www.amazon.com/Hormel-Natural-Choice-Cooked-Uncured/dp/B07KPDWKWB/ref=sr_1_4?crid=24DEPFWPTYOE6&keywords=bacon&qid=1691813582&sprefix=%2Caps%2C67&sr=8-4,https://m.media-amazon.com/images/I/714OEHwlVWL._AC_UL400_.jpg
"Wellshire Farms Dry Rubbed Black Forest Pork Bacon, 12 OZ",B0C9VYMSPG,8.99,0,0,https://www.amazon.com/Wellshire-Farms-Rubbed-Black-Forest/dp/B0C9VYMSPG/ref=sr_1_5_f3_0o_wf?crid=24DEPFWPTYOE6&keywords=bacon&qid=1691813582&sprefix=%2Caps%2C67&sr=8-5,https://m.media-amazon.com/images/I/81gNxIb-tgL._AC_UL400_.jpg
NORTH COUNTRY SMOKEHOUSE Fruitwood Smoked Bacon,B07F1258Y6,11.29,4.6 out of 5 stars,109,https://www.amazon.com/North-Country-Smokehouse-Fruitwood-Smoked/dp/B07F1258Y6/ref=sr_1_6_f3_0o_wf?crid=24DEPFWPTYOE6&keywords=bacon&qid=1691813582&sprefix=%2Caps%2C67&sr=8-6,https://m.media-amazon.com/images/I/615p7+qHJHL._AC_UL400_.jpg
"Daily's Premium Meats Applewood Smoke Thick Cut Bacon, 1.5 lb",B07KQV3M7R,11.99,4.7 out of 5 stars,651,https://www.amazon.com/Dailys-Premium-Meats-Applewood-Smoke/dp/B07KQV3M7R/ref=sr_1_7_f3_0o_fs?crid=24DEPFWPTYOE6&keywords=bacon&qid=1691813582&sprefix=%2Caps%2C67&sr=8-7,https://m.media-amazon.com/images/I/716m99c7QVL._AC_UL400_.jpg
"Wellshire Farms, Thick Sliced Dry-Rubbed Bacon, 12 oz",B074VD2YC2,8.99,4.5 out of 5 stars,"2,412",https://www.amazon.com/Wellshire-Farms-Thick-Sliced-Dry-Rubbed/dp/B074VD2YC2/ref=sr_1_8_f3_0o_wf?crid=24DEPFWPTYOE6&keywords=bacon&qid=1691813582&sprefix=%2Caps%2C67&sr=8-8,https://m.media-amazon.com/images/I/81K6HbgpmzL._AC_UL400_.jpg
"365 by Whole Foods Market, Pork Bacon Center Cut Smokehouse Uncured Reduced Sodium, 12 Ounce",B074H7KL22,6.99,4.5 out of 5 stars,"7,508",https://www.amazon.com/365-Everyday-Value-Smokehouse-Reduced/dp/B074H7KL22/ref=sr_1_9_f3_0o_wf_mod_primary_alm?crid=24DEPFWPTYOE6&keywords=bacon&qid=1691813582&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sprefix=%2Caps%2C67&sr=8-9,https://m.media-amazon.com/images/I/816Ft4cL+SL._AC_UL400_.jpg
"Nature’s Rancher, No Sugar Added Hickory Smoked Bacon, 12 oz",B07B6BMLT1,8.29,4.6 out of 5 stars,"4,393",https://www.amazon.com/NATURES-RANCHER-Bacon-Sugar-Added/dp/B07B6BMLT1/ref=sr_1_10_f3_0o_wf?crid=24DEPFWPTYOE6&keywords=bacon&qid=1691813582&sprefix=%2Caps%2C67&sr=8-10,https://m.media-amazon.com/images/I/81zT8PRCBlL._AC_UL400_.jpg
