product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Q Mixers Hibiscus Ginger Beer, Premium Cocktail Mixer Made with Real Ingredients, 7.5 Fl oz (Pack of 24)",B087CYM49L,21.48,4.7 out of 5 stars,"2,956",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTg1NDkwNzQ5NDEzMjEwOjE2OTE4MTI1MTU6c3BfYXRmOjMwMDAwODE2MzI0MDAwMjo6MDo6&url=%2FHibiscus-Ginger-Beer-Premium-Ingredients%2Fdp%2FB087CYM49L%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbeer%26qid%3D1691812515%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71kJN33JIRL._AC_UL320_.jpg
Stanley 10-02874-029 The Big Grip Beer Stein Hammertone Green 24OZ / .7L,B07NPKZ5K9,0,4.8 out of 5 stars,"1,874",https://www.amazon.com/Stanley-Adventure-Grip-Stein-24oz/dp/B07NPKZ5K9/ref=sr_1_2?keywords=beer&qid=1691812515&sr=8-2,https://m.media-amazon.com/images/I/81CEoNir36L._AC_UL320_.jpg
Flying Cauldron Butterscotch Beer 12 Oz 4 Bottles,B01426M3VQ,18.54,4.0 out of 5 stars,543,https://www.amazon.com/Flying-Cauldron-Butterscotch-Beer-Bottles/dp/B01426M3VQ/ref=sr_1_3?keywords=beer&qid=1691812515&sr=8-3,https://m.media-amazon.com/images/I/613bXIPqBjL._AC_UL320_.jpg
"Athletic Brewing Company Craft Non-Alcoholic Beer - Mix 12-Pack - Run Wild IPA and Free Wave Hazy IPA - Low-Calorie, Award Winning - All Natural Ingredients For Great Tasting Drink - 12 Fl Oz Cans",B098B319LC,29.99,4.6 out of 5 stars,"1,391",https://www.amazon.com/Athletic-Brewing-Company-Craft-Low-Calorie/dp/B098B319LC/ref=sr_1_4?keywords=beer&qid=1691812515&sr=8-4,https://m.media-amazon.com/images/I/71DL7jmHy5L._AC_UL320_.jpg
"Blue Moon, White Belgian, 15pk, 12 Fl Oz Cans",B07961VXT5,21.49,4.7 out of 5 stars,61,https://www.amazon.com/Blue-Moon-Belgian-White-Cans/dp/B07961VXT5/ref=sr_1_5_f3_0o_wf?keywords=beer&qid=1691812515&sr=8-5,https://m.media-amazon.com/images/I/61vdNMlXYxL._AC_UL320_.jpg
"Fever Tree Ginger Beer - Premium Quality Mixer - Refreshing Beverage for Cocktails & Mocktails. Naturally Sourced Ingredients, No Artificial Sweeteners or Colors - 150 ML Cans - Pack of 24",B091X3X9QJ,25.47,4.7 out of 5 stars,"8,079",https://www.amazon.com/Fever-Tree-Artificial-Sweeteners-Flavorings-Preservatives/dp/B091X3X9QJ/ref=sr_1_6?keywords=beer&qid=1691812515&sr=8-6,https://m.media-amazon.com/images/I/61LlBoWSuXL._AC_UL320_.jpg
"Zevia Zero Calorie Soda, Ginger Root Beer, 12 Ounce Cans (Pack of 24)",B00ZK6HIDQ,20.98,4.2 out of 5 stars,"43,656",https://www.amazon.com/Zevia-Zero-Calorie-Ginger-Ounce/dp/B00ZK6HIDQ/ref=sr_1_7?keywords=beer&qid=1691812515&sr=8-7,https://m.media-amazon.com/images/I/7102D92NmSL._AC_UL320_.jpg
"Corona Extra Mexican Lager Beer, 12 pk, 12 oz cans, 4.6% ABV",B06XD6BR5B,21.49,4.8 out of 5 stars,115,https://www.amazon.com/Corona-Extra-12/dp/B06XD6BR5B/ref=sr_1_8_f3_0o_wf?keywords=beer&qid=1691812515&sr=8-8,https://m.media-amazon.com/images/I/81nu5-u7gUL._AC_UL320_.jpg
"Athletic Brewing Company Craft Non-Alcoholic Beer - 12 Pack x 12 Fl Oz Cans - Upside Dawn Craft Golden - Low-Calorie, Award Winning - Subtle Aromas with Floral and Earthy Notes",B08PDN73M8,29.99,4.6 out of 5 stars,"1,216",https://www.amazon.com/Athletic-Brewing-Company-Craft-Low-Calorie/dp/B08PDN73M8/ref=sr_1_9?keywords=beer&qid=1691812515&sr=8-9,https://m.media-amazon.com/images/I/610k1dywoHL._AC_UL320_.jpg
"ZERO GRAVITY CRAFT BREWERY Citra Hop IPA 4pk Cans, 16 FZ",B07RSR6B4D,9.99,5.0 out of 5 stars,4,https://www.amazon.com/ZERO-GRAVITY-CRAFT-BREWERY-Citra/dp/B07RSR6B4D/ref=sr_1_10_f3_0o_wf?keywords=beer&qid=1691812515&sr=8-10,https://m.media-amazon.com/images/I/61j5j0LeqDL._AC_UL320_.jpg
