product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Essentia Bottled Water, 1 Liter, 12-Pack, Ionized Alkaline Water:99.9% Pure, Infused With Electrolytes, 9.5 pH Or Higher With A Clean, Smooth Taste",B005HG9ESG,23.77,4.8 out of 5 stars,"36,519",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNzk2MTc5NTY2ODI3OTU4OjE2OTE4MTI2NTY6c3BfYXRmOjMwMDAwNTU1NDI3NTkwMjo6MDo6&url=%2FEssentia-Water-Electrolytes-Rehydration-Overachievers%2Fdp%2FB005HG9ESG%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbottle%2Bwater%26qid%3D1691812656%26rdc%3D1%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81QJejt5LrL._AC_UL400_.jpg
"Essentia Bottled Water LLC, Ionized Alkaline Water; 99.9% Pure, Infused with Electrolytes, 9.5 pH or Higher with a Clean, Smooth Taste, 20 Fl Oz (Pack of 24)",B005HG9ERW,34.99,4.8 out of 5 stars,"17,669",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNzk2MTc5NTY2ODI3OTU4OjE2OTE4MTI2NTY6c3BfYXRmOjMwMDAwNTU1NDI3NTgwMjo6MDo6&url=%2FEssentia-Water-Electrolyte-99-9-Percent-Overachieving%2Fdp%2FB005HG9ERW%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbottle%2Bwater%26qid%3D1691812656%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51T7dB9ujsS._AC_UL400_.jpg
Zephyrhills Spring Water Case Bundles (8 oz. Case of 48-3 Cases),B09ZK7NPMD,0,4.7 out of 5 stars,140,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNzk2MTc5NTY2ODI3OTU4OjE2OTE4MTI2NTY6c3BfYXRmOjIwMDA1NzQzMTgwMzI5ODo6MDo6&url=%2FZephyrhills-Spring-Water-Case-Bundles%2Fdp%2FB09ZK7NPMD%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dbottle%2Bwater%26qid%3D1691812656%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/91TkaZHw7SL._AC_UL400_.jpg
"Arrowhead Spring Water Case Bundles (8 oz. Bottles - Case of 48 - 3 Cases), 8 Fl Oz (Pack of 96)",B09ZJ6PHFC,0,4.6 out of 5 stars,83,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNzk2MTc5NTY2ODI3OTU4OjE2OTE4MTI2NTY6c3BfYXRmOjIwMDA1NzQ0MDg2MTc5ODo6MDo6&url=%2FArrowhead-Spring-Water-Bundles-Bottles%2Fdp%2FB09ZJ6PHFC%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dbottle%2Bwater%26qid%3D1691812656%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/91XapLRqy+L._AC_UL400_.jpg
Pure Life 571863 Nestle Pure Life Water 16.9 Oz. 24/Carton (110109),B00C9RNQ8K,16.25,4.4 out of 5 stars,"1,881",https://www.amazon.com/571863-Nestle-Water-Carton-110109/dp/B00C9RNQ8K/ref=sr_1_5?keywords=bottle+water&qid=1691812656&sr=8-5,https://m.media-amazon.com/images/I/81YerxOruUL._AC_UL400_.jpg
"Nestle - Pure Life, Purified Water, 676 Fl Ounce (16.9oz / 40pk)",B0776LS6Q3,23.87,4.4 out of 5 stars,"1,207",https://www.amazon.com/Pure-Purified-Water-Bottle-Pallet/dp/B0776LS6Q3/ref=sr_1_6?keywords=bottle+water&qid=1691812656&sr=8-6,https://m.media-amazon.com/images/I/5180szZgG0L._AC_UL400_.jpg
"LIFEWTR Premium Purified Water pH Balanced with Electrolytes, 100% recycled plastic",B07D8LQVZQ,14.99,4.7 out of 5 stars,"46,119",https://www.amazon.com/LIFEWTR-Premium-Purified-Water-16-9/dp/B07D8LQVZQ/ref=sr_1_7?keywords=bottle+water&qid=1691812656&sr=8-7,https://m.media-amazon.com/images/I/81wcx63TFML._AC_UL400_.jpg
"Kirkland Signature Purified Drinking Water, 16.9 Ounce, 40 Count",B00QGMOJ4Y,22.49,4.5 out of 5 stars,904,https://www.amazon.com/Kirkland-Signature-Purified-Drinking-Water/dp/B00QGMOJ4Y/ref=sr_1_8?keywords=bottle+water&qid=1691812656&sr=8-8,https://m.media-amazon.com/images/I/71x00JUADoL._AC_UL400_.jpg
"Nestle Pure Life 8 Oz. Purified Water, 48 Per Carton",B07J1SYGTL,20.25,4.5 out of 5 stars,"1,989",https://www.amazon.com/Nestle-Pure-Life-Purified-Carton/dp/B07J1SYGTL/ref=sr_1_9?keywords=bottle+water&qid=1691812656&sr=8-9,https://m.media-amazon.com/images/I/31m3g5oNE6L._AC_UL400_.jpg
"Crystal Geyser, Alpine Spring Water Natural, 30pk, 8 Ounce",B0BHT866CC,20.99,4.2 out of 5 stars,151,https://www.amazon.com/Crystal-Geyser-Alpine-Spring-Natural/dp/B0BHT866CC/ref=sr_1_10?keywords=bottle+water&qid=1691812656&sr=8-10,https://m.media-amazon.com/images/I/511EB5VjfzL._AC_UL400_.jpg
