product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"CADBURY CARAMELLO Milk Chocolate and Creamy Caramel, Bulk, Individually Wrapped King Size Candy Bars, 2.7 oz (18 Count)",B000IXSN2Q,30.38,4.6 out of 5 stars,"1,368",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MjUxNjMyMTM3NjIwNTIxOjE2OTE4MTE2ODQ6c3BfYXRmOjIwMDE1MTQ4MTU2MDk5ODo6MDo6&url=%2FCARAMELLO-Chocolate-Caramel-Candy-King%2Fdp%2FB000IXSN2Q%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcandy%2Bbars%26qid%3D1691811684%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81OiB3ttJCL._AC_UL320_.jpg
"HERSHEY'S Milk Chocolate Candy Bars, 1.55 oz (36 Count)",B086LHQHLT,31.95,4.7 out of 5 stars,"16,914",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MjUxNjMyMTM3NjIwNTIxOjE2OTE4MTE2ODQ6c3BfYXRmOjIwMDA3NzcyMzczODU5ODo6MDo6&url=%2FHersheys-Chocolate-Candy-Individually-Wrapped%2Fdp%2FB086LHQHLT%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dcandy%2Bbars%26qid%3D1691811684%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81NTWHILkpL._AC_UL320_.jpg
"SNICKERS, TWIX, MILKY WAY & 3 MUSKETEERS Individually Wrapped Variety Pack Full Size Milk Chocolate Halloween Candy Bars Assortment, 33.31 oz, 18 Bars Bulk Candy Box",B00B42NQC2,16.99,4.7 out of 5 stars,"28,085",https://www.amazon.com/SNICKERS-MUSKETEERS-Christmas-Variety-18-Count/dp/B00B42NQC2/ref=sr_1_3?keywords=candy+bars&qid=1691811684&sr=8-3,https://m.media-amazon.com/images/I/71kQY4DDlNL._AC_UL320_.jpg
"PAYDAY Peanut Caramel Candy Bars, 1.85 oz (24 Count)",B005CUMHFE,12.53,4.7 out of 5 stars,"9,073",https://www.amazon.com/PAYDAY-Peanut-Caramel-Candy-Pack/dp/B005CUMHFE/ref=sr_1_4?keywords=candy+bars&qid=1691811684&sr=8-4,https://m.media-amazon.com/images/I/71BH2qKQzYL._AC_UL320_.jpg
"HERSHEY'S, KIT KAT and REESE'S Assorted Milk Chocolate Candy Variety Box, 27.3 oz (18 Count)",B005CUK20Q,16.99,4.7 out of 5 stars,"30,785",https://www.amazon.com/HERSH%C3%89YS-Hersheys-Chocolate-Variety-Reeses/dp/B005CUK20Q/ref=sr_1_5?keywords=candy+bars&qid=1691811684&sr=8-5,https://m.media-amazon.com/images/I/818S6xPz9aL._AC_UL320_.jpg
"HEATH Chocolatey English Toffee Candy Bars, 1.4 oz (18 Count)",B00R0OB7DI,19.14,4.7 out of 5 stars,"9,752",https://www.amazon.com/HEATH-Chocolate-Toffee-Candy-Count/dp/B00R0OB7DI/ref=sr_1_6?keywords=candy+bars&qid=1691811684&sr=8-6,https://m.media-amazon.com/images/I/81ROXH9GYDL._AC_UL320_.jpg
"REESE'S Milk Chocolate Peanut Butter Cups, Candy Packs, 1.5 oz (36 Count)",B000IXUK8G,30.95,4.7 out of 5 stars,"7,900",https://www.amazon.com/REESES-Holiday-Chocolate-Peanut-Butter/dp/B000IXUK8G/ref=sr_1_7?keywords=candy+bars&qid=1691811684&sr=8-7,https://m.media-amazon.com/images/I/81tPcGjIo8L._AC_UL320_.jpg
"Bundle with (2 LB) Fun Size Chocolate Candy Variety Pack Plain & Peanut M&M's, Snickers, Milky Way, Reese's, York Peppermint Patties, 100 Grand Bars, Almond Joys, and Many More Bars - Bulk 2 Pound",B07Z76N6YT,14.99,3.9 out of 5 stars,999,https://www.amazon.com/Chocolate-Peanut-Snickers-Peppermint-Patties/dp/B07Z76N6YT/ref=sr_1_8?keywords=candy+bars&qid=1691811684&sr=8-8,https://m.media-amazon.com/images/I/91U3sBf30TL._AC_UL320_.jpg
"Airheads Candy Bars, Variety Bulk Box, Chewy Full Size Fruit Taffy, Gifts, Holiday, Parties, Concessions, Pantry, Non Melting, Party, 60 Individually Wrapped Full Size Bars",B0017L4PH0,7.98,4.8 out of 5 stars,"85,890",https://www.amazon.com/AirHeads-Chewy-Fruit-Variety-Packaging/dp/B0017L4PH0/ref=sr_1_9?keywords=candy+bars&qid=1691811684&sr=8-9,https://m.media-amazon.com/images/I/81jq232DzCL._AC_UL320_.jpg
SKITTLES & STARBURST Candy Full Size Variety Mix 62.79-Ounce 30-Count Box,B07TRNMCDN,25.98,4.7 out of 5 stars,"21,365",https://www.amazon.com/SKITTLES-STARBURST-Variety-62-79-Ounce-30-Count/dp/B07TRNMCDN/ref=sr_1_10?keywords=candy+bars&qid=1691811684&sr=8-10,https://m.media-amazon.com/images/I/71Eoes+1UFL._AC_UL320_.jpg
"Funtasty Milk Chocolate Caramel Pecan Clusters, Pack 2 Pounds",B0BTZBYMYZ,23.99,4.0 out of 5 stars,140,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MjUxNjMyMTM3NjIwNTIxOjE2OTE4MTE2ODQ6c3BfbXRmOjIwMDE4MDIwOTI2OTc5ODo6MDo6&url=%2FFuntasty-Chocolate-Caramel-Clusters-Pounds%2Fdp%2FB0BTZBYMYZ%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dcandy%2Bbars%26qid%3D1691811684%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/71lk++QzwXL._AC_UL320_.jpg
"Airheads Xtremes Belts, Rainbow Berry Flavor, Sweetly Sour Candy, Non Melting, Bulk Movie Theater and Party Bag, 3 Ounce (Pack of 12)",B00UF7K8MS,14.84,4.7 out of 5 stars,"9,285",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MjUxNjMyMTM3NjIwNTIxOjE2OTE4MTE2ODQ6c3BfbXRmOjIwMDAwNjA3NjE5MTUzMTo6MDo6&url=%2FAirHeads-Xtremes-Sweetly-Rainbow-Melting%2Fdp%2FB00UF7K8MS%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dcandy%2Bbars%26qid%3D1691811684%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/812FbDCg9pL._AC_UL320_.jpg
