product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"KIND Soft Baked Granola, Dark Chocolate Chunk, 5 count",B0BMW7SBJM,24.95,4.6 out of 5 stars,131,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjU4MjAzNDg0MTg2MTI5OjE2OTE4MTA4Njc6c3BfYXRmOjIwMDEyNTEyMTc3MTg5ODo6MDo6&url=%2FKIND-Baked-Granola-Chocolate-Chunk%2Fdp%2FB0BMW7SBJM%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcereals%26qid%3D1691810867%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71rFxSRNUiL._AC_UL400_.jpg
"Reese's Puffs Chocolatey Peanut Butter Cereal, Guardians of the Galaxy Vol. 3 Special Edition, Large Size, 16.7 OZ",B07CXHRVZ3,5.99,4.7 out of 5 stars,"14,760",https://www.amazon.com/Reeses-Peanut-Butter-Breakfast-Cereal/dp/B07CXHRVZ3/ref=sr_1_2_f3_0o_fs?keywords=cereals&qid=1691810867&sr=8-2,https://m.media-amazon.com/images/I/818DDiu2GnL._AC_UL400_.jpg
"Honey Bunches of Oats with Almonds, Heart Healthy, Low Fat, made with Whole Grain",B0055AEZ0G,3.99,4.7 out of 5 stars,"23,523",https://www.amazon.com/Honey-Bunches-Oats-Crispy-Almonds/dp/B0055AEZ0G/ref=sr_1_3?keywords=cereals&qid=1691810867&sr=8-3,https://m.media-amazon.com/images/I/814Ghw3dsrL._AC_UL400_.jpg
"Original Cinnamon Toast Crunch Breakfast Cereal, Crispy Cinnamon",B07CX3GRXV,3.00,4.8 out of 5 stars,"13,768",https://www.amazon.com/Cinnamon-Toast-Crunch-Breakfast-Cereal/dp/B07CX3GRXV/ref=sr_1_4?keywords=cereals&qid=1691810867&sr=8-4,https://m.media-amazon.com/images/I/91Gxq+4SQmL._AC_UL400_.jpg
"Golden Grahams Breakfast Cereal, Graham Cracker Taste, Whole Grain, Family Size, 18.9 oz",B08ZDYGMMC,4.93,4.7 out of 5 stars,"7,692",https://www.amazon.com/Golden-Grahams-Breakfast-Cereal-Cracker/dp/B08ZDYGMMC/ref=sr_1_5?keywords=cereals&qid=1691810867&sr=8-5,https://m.media-amazon.com/images/I/81Q9L4CnR7L._AC_UL400_.jpg
"Honey Nut Cheerios Heart Healthy Cereal, Gluten Free Cereal With Whole Grain Oats, 10.8 OZ",B07CZCM4VZ,3.00,4.8 out of 5 stars,"50,443",https://www.amazon.com/Honey-Cheerios-Gluten-Free-Cereal/dp/B07CZCM4VZ/ref=sr_1_6?keywords=cereals&qid=1691810867&sr=8-6,https://m.media-amazon.com/images/I/814IiHp+SxL._AC_UL400_.jpg
"Post Cereal Fruity Pebbles, 11 oz",B000RYNY5C,2.99,4.8 out of 5 stars,"14,343",https://www.amazon.com/Post-Cereal-Fruity-Pebbles-11/dp/B000RYNY5C/ref=sr_1_7?keywords=cereals&qid=1691810867&sr=8-7,https://m.media-amazon.com/images/I/81aAragCCfL._AC_UL400_.jpg
"Quaker Simply Granola Honey & Almond, Twin Pack",B08ZKY37HQ,8.41,4.7 out of 5 stars,"2,882",https://www.amazon.com/Quaker-Simply-Granola-Honey-Almond/dp/B08ZKY37HQ/ref=sr_1_8?keywords=cereals&qid=1691810867&sr=8-8,https://m.media-amazon.com/images/I/91Z4m6ncXxS._AC_UL400_.jpg
"French Toast Crunch Breakfast Cereal, Crispy Sweetened Corn Cereal, 17.4 OZ Family Size",B08X71G495,4.93,4.7 out of 5 stars,"1,809",https://www.amazon.com/French-Toast-Crunch-Breakfast-Cereal/dp/B08X71G495/ref=sr_1_9?keywords=cereals&qid=1691810867&sr=8-9,https://m.media-amazon.com/images/I/81m479nL5cL._AC_UL400_.jpg
"KIT KAT Chocolatey Breakfast Cereal Made with Whole Grain, Family Size, 19.5 oz",B0C1PS1DL5,4.93,4.4 out of 5 stars,43,https://www.amazon.com/Chocolatey-Breakfast-Cereal-Whole-Family/dp/B0C1PS1DL5/ref=sr_1_10?keywords=cereals&qid=1691810867&sr=8-10,https://m.media-amazon.com/images/I/81Dq79-mOqL._AC_UL400_.jpg
"Post Great Grains Raisins, Dates & Pecans Whole Grain Cereal, 16 Ounce",B0051OLMZC,3.99,4.6 out of 5 stars,"4,066",https://www.amazon.com/Great-Grains-Raisins-Pecans-Cereal/dp/B0051OLMZC/ref=sr_1_11?keywords=cereals&qid=1691810867&sr=8-11,https://m.media-amazon.com/images/I/71toZQMA9IL._AC_UL400_.jpg
"KIT KAT Chocolatey Cereal, Breakfast Cereal Made with Whole Grain, 11.5 oz",B0BVTMM9LS,3.99,3.5 out of 5 stars,43,https://www.amazon.com/Chocolatey-Cereal-Breakfast-Whole-Grain/dp/B0BVTMM9LS/ref=sr_1_12?keywords=cereals&qid=1691810867&sr=8-12,https://m.media-amazon.com/images/I/81RbFBFiwML._AC_UL400_.jpg
"Cocoa Puffs, Chocolate Breakfast Cereal with Whole Grains, 18.1 oz",B08X69TX2M,4.93,4.7 out of 5 stars,"3,700",https://www.amazon.com/Cocoa-Puffs-Chocolate-Breakfast-Cereal/dp/B08X69TX2M/ref=sr_1_13?keywords=cereals&qid=1691810867&sr=8-13,https://m.media-amazon.com/images/I/81HQoXXpr1L._AC_UL400_.jpg
"Kellogg's Breakfast Cereal in a Cup, Assortment Pack, Bulk Size (Pack of 24 Cups)",B00PHYE7J4,36.33,4.7 out of 5 stars,"8,740",https://www.amazon.com/Kelloggs-Breakfast-Cereal-Assortment-Pack/dp/B00PHYE7J4/ref=sr_1_14?keywords=cereals&qid=1691810867&rdc=1&sr=8-14,https://m.media-amazon.com/images/I/81bgR1vzX9L._AC_UL400_.jpg
"Cap'n Crunch Cereal, Crunch Berries, 20.5oz Box",B0BFZNBP6Z,4.78,4.8 out of 5 stars,675,https://www.amazon.com/Capn-Crunch-Cereal-Berries-20-5oz/dp/B0BFZNBP6Z/ref=sr_1_15?keywords=cereals&qid=1691810867&sr=8-15,https://m.media-amazon.com/images/I/815aAwO7EAL._AC_UL400_.jpg
"Cookie Crisp Whole Grain Cereal, Guardians of the Galaxy Vol. 3 Special Edition, Family Size, 18.3 OZ",B08X719R3Y,4.88,4.7 out of 5 stars,"3,500",https://www.amazon.com/Cookie-Crisp-Breakfast-Cereal-Chocolate/dp/B08X719R3Y/ref=sr_1_16?keywords=cereals&qid=1691810867&sr=8-16,https://m.media-amazon.com/images/I/8110Tml2+BL._AC_UL400_.jpg
