product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Paqui One Chip Challenge 2023, Hottest Chip Made with Carolina Reaper and Naga Viper Peppers, Gluten Free and Non-GMO, 0.21 Ounce",B0896Y8PLN,9.99,4.4 out of 5 stars,"19,438",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTAxNjE2MjE4NjQyNjkwOjE2OTE4MDkwNDY6c3BfYXRmOjIwMDA4NzEyODcxNzY4MTo6MDo6&url=%2F2020-Paqui-Chip-Challenge-0-21oz%2Fdp%2FB0896Y8PLN%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dchips%26qid%3D1691809046%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81Rp0WMtjNL._AC_UL400_.jpg
"The Good Crisp Company, Good Crisps Minis (Original, 1.6 Ounce, Pack of 12) Non-GMO, Allergen Friendly, Potato Chip Snack Pack, Gluten Free Snacks",B07BJDFLPB,22.99,4.2 out of 5 stars,798,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTAxNjE2MjE4NjQyNjkwOjE2OTE4MDkwNDY6c3BfYXRmOjIwMDEzNDEyNjA5NTc5ODo6MDo6&url=%2FGood-Crisps-Original-Ounce-Pack%2Fdp%2FB07BJDFLPB%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dchips%26qid%3D1691809046%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/91ZpDLLUcmL._AC_UL400_.jpg
"Frito-Lay Fun Times Mix Variety Pack, 40 Count",B076H6F974,21.38,4.6 out of 5 stars,"158,841",https://www.amazon.com/Frito-Lay-Times-Variety-Pack-40Count/dp/B076H6F974/ref=sr_1_3?keywords=chips&qid=1691809046&sr=8-3,https://m.media-amazon.com/images/I/91sEdIwVVoL._AC_UL400_.jpg
"Pringles Potato Crisps Chips, Lunch Snacks, On-the-Go Snacks, Snack Stacks, Variety Pack, 19.3oz Box (27 Cups)",B078D7MGY5,11.38,4.6 out of 5 stars,"11,819",https://www.amazon.com/Pringles-Flavored-Variety-Original-Cheddar/dp/B078D7MGY5/ref=sr_1_4?keywords=chips&qid=1691809046&rdc=1&sr=8-4,https://m.media-amazon.com/images/I/71K+K9kYGQL._AC_UL400_.jpg
"Lay's Classic Potato Chips, 1 Ounce (Pack of 40)",B072M1NC4M,13.98,4.6 out of 5 stars,"62,027",https://www.amazon.com/Lays-Classic-Potato-Chips-Ounce/dp/B072M1NC4M/ref=sr_1_5?keywords=chips&qid=1691809046&sr=8-5,https://m.media-amazon.com/images/I/81q0u5HDdbL._AC_UL400_.jpg
Sunchips Multigrain Chips Variety 1 Ounce Pack of 40,B074N9Y8P9,18.99,4.7 out of 5 stars,"19,868",https://www.amazon.com/Sunchips-Multigrain-Chips-Variety-Count/dp/B074N9Y8P9/ref=sr_1_6?keywords=chips&qid=1691809046&sr=8-6,https://m.media-amazon.com/images/I/716iBFH5RcL._AC_UL400_.jpg
"Utz Party Mix - 26 Ounce Barrel - Tasty Snack Mix Includes Corn Tortillas, Nacho Tortillas, Pretzels, BBQ Corn Chips and Cheese Curls, Easy and Quick Party Snacks, Cholesterol Free and Trans-Fat Free",B0727NFNYG,6.98,4.3 out of 5 stars,"8,245",https://www.amazon.com/UTZ-Party-Mix-Barrel-Chips/dp/B0727NFNYG/ref=sr_1_7?keywords=chips&qid=1691809046&sr=8-7,https://m.media-amazon.com/images/I/81bRv9s1FfL._AC_UL400_.jpg
Frito Lay Classic 50 bags,B087HSJYNY,29.00,4.6 out of 5 stars,"1,952",https://www.amazon.com/Frito-Lay-Classic-50-bags/dp/B087HSJYNY/ref=sr_1_8?keywords=chips&qid=1691809046&sr=8-8,https://m.media-amazon.com/images/I/71ZoBiYbCRL._AC_UL400_.jpg
"Pringles Potato Crisps Chips, Lunch Snacks, Office and Kids Snacks, Grab N' Go, Sour Cream and Onion (12 Cans)",B000Y2WPKC,9.99,4.5 out of 5 stars,"25,121",https://www.amazon.com/Pringles-Potato-Crisps-2-8-Ounce-Packages/dp/B000Y2WPKC/ref=sr_1_9?keywords=chips&qid=1691809046&sr=8-9,https://m.media-amazon.com/images/I/71fhRKa+U1L._AC_UL400_.jpg
"Frito-Lay Ruffles & Doritos Bold Mix Variety Pack, 40 Pack",B08QPF22KK,20.78,4.6 out of 5 stars,"25,738",https://www.amazon.com/Ruffles-FritoLay-Variety-Flavors-Doritos/dp/B08QPF22KK/ref=sr_1_10?keywords=chips&qid=1691809046&sr=8-10,https://m.media-amazon.com/images/I/91aCj1mIqDL._AC_UL400_.jpg
"Paqui Spicy Tortilla Chips Variety Pack, Gluten Free Chips, Non-GMO Chips, Flavored Tortilla Chips, 12ct, 2oz Individual Snack Sized Bags",B07WRMWQGL,16.49,4.4 out of 5 stars,"1,465",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTAxNjE2MjE4NjQyNjkwOjE2OTE4MDkwNDY6c3BfbXRmOjIwMDAyMDE5MjgzNTE4MTo6MDo6&url=%2FPaqui-Tortilla-Variety-Haunted-Pepper%2Fdp%2FB07WRMWQGL%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dchips%26qid%3D1691809046%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/71k0DEYUblL._AC_UL400_.jpg
"SunChips Black Beans Variety Pack, 40 count",B09NZT38ZV,28.25,4.7 out of 5 stars,"19,868",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTAxNjE2MjE4NjQyNjkwOjE2OTE4MDkwNDY6c3BfbXRmOjIwMDA5MTA5NjczMTI5ODo6MDo6&url=%2FSunchips-Black-Multigrain-Chips-Variety%2Fdp%2FB09NZT38ZV%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dchips%26qid%3D1691809046%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/81So5OGFSOL._AC_UL400_.jpg
