product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"M&M'S, SNICKERS, 3 MUSKETEERS, SKITTLES & STARBURST Variety Pack Full Size Bulk Candy Assortment, 56.11 oz, 30 Bars",B00E3K3UX2,25.99,4.7 out of 5 stars,"28,085",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNTAxNDYwNTA1NDIwODcxOjE2OTE4MTMwMTI6c3BfYXRmOjIwMDA2NjE4ODA0Nzk5ODo6MDo6&url=%2FSNICKERS-MUSKETEERS-SKITTLES-STARBURST-Variety%2Fdp%2FB00E3K3UX2%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dchocolate%2Bbars%26qid%3D1691813012%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71URS3UtUQL._AC_UL320_.jpg
"Kinder Bueno Milk Chocolate and Hazelnut Cream, 2 Individually Wrapped Chocolate Bars Per Pack, 1.5 oz each, 30 Pack",B07W46FC3N,24.66,4.8 out of 5 stars,"9,903",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNTAxNDYwNTA1NDIwODcxOjE2OTE4MTMwMTI6c3BfYXRmOjIwMDA0NDExNzkxODA4MTo6MDo6&url=%2FKinder-Bueno-Chocolate-Individually-Valentines%2Fdp%2FB07W46FC3N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dchocolate%2Bbars%26qid%3D1691813012%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/710ZYU-wmEL._AC_UL320_.jpg
"HERSHEY'S Milk Chocolate Candy Bars, 1.55 oz (36 Count)",B086LHQHLT,31.95,4.7 out of 5 stars,"16,914",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNTAxNDYwNTA1NDIwODcxOjE2OTE4MTMwMTI6c3BfYXRmOjIwMDA3NzcyMzczODU5ODo6MDo6&url=%2FHersheys-Chocolate-Candy-Individually-Wrapped%2Fdp%2FB086LHQHLT%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dchocolate%2Bbars%26qid%3D1691813012%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81NTWHILkpL._AC_UL320_.jpg
"Hershey's Miniatures Milk Chocolate -   Candy, 2 - Pounds, Bulk/Wholesale - Perfect for Holidays, Candy Bowls & Buffets, Parties, Favors, Game & Movie Nights, Gifts & More!",B08SSZTLQK,21.99,3.9 out of 5 stars,113,https://www.amazon.com/Hersheys-Mr-Goodbar-Milk-Chocolate/dp/B08SSZTLQK/ref=sr_1_4?keywords=chocolate+bars&qid=1691813012&sr=8-4,https://m.media-amazon.com/images/I/61fpvpmz4NL._AC_UL320_.jpg
"365 by Whole Foods Market, Organic Milk Chocolate Bar, 3 Ounce",B074JD6D3C,2.79,4.6 out of 5 stars,"2,302",https://www.amazon.com/365-Everyday-Value-Organic-Chocolate/dp/B074JD6D3C/ref=sr_1_5?keywords=chocolate+bars&qid=1691813012&sr=8-5,https://m.media-amazon.com/images/I/512Cyrz0tYL._AC_UL320_.jpg
"HERSHEY'S, KIT KAT and REESE'S Assorted Milk Chocolate Candy Variety Box, 27.3 oz (18 Count)",B005CUK20Q,16.99,4.7 out of 5 stars,"30,785",https://www.amazon.com/HERSH%C3%89YS-Hersheys-Chocolate-Variety-Reeses/dp/B005CUK20Q/ref=sr_1_6?keywords=chocolate+bars&qid=1691813012&sr=8-6,https://m.media-amazon.com/images/I/818S6xPz9aL._AC_UL320_.jpg
"HERSHEY'S Milk Chocolate XL, Candy Bars, 4.4 oz (12 Count, 16 Pieces)",B00167YCSM,23.94,4.7 out of 5 stars,"16,914",https://www.amazon.com/HERSHEYS-Chocolate-Candy-Extra-Large/dp/B00167YCSM/ref=sr_1_7?keywords=chocolate+bars&qid=1691813012&sr=8-7,https://m.media-amazon.com/images/I/714AjbZTcnL._AC_UL320_.jpg
Tony's Chocolonely Chocolate Candy Bar Variety Pack - 6.35 Oz Bars - 4 Count,B0C2WQMMQR,22.95,4.1 out of 5 stars,12,https://www.amazon.com/Tonys-Chocolonely-Chocolate-Candy-Variety/dp/B0C2WQMMQR/ref=sr_1_8?keywords=chocolate+bars&qid=1691813012&sr=8-8,https://m.media-amazon.com/images/I/71N11WVPEGL._AC_UL320_.jpg
"SNICKERS, TWIX, MILKY WAY & 3 MUSKETEERS Individually Wrapped Variety Pack Full Size Milk Chocolate Halloween Candy Bars Assortment, 33.31 oz, 18 Bars Bulk Candy Box",B00B42NQC2,16.99,4.7 out of 5 stars,"28,085",https://www.amazon.com/SNICKERS-MUSKETEERS-Christmas-Variety-18-Count/dp/B00B42NQC2/ref=sr_1_9?keywords=chocolate+bars&qid=1691813012&sr=8-9,https://m.media-amazon.com/images/I/71kQY4DDlNL._AC_UL320_.jpg
Hershey’s Milk Chocolate Miniatures Candy Bars - Individually Wrapped - 2lb Bulk Pack (125 pieces),B0C3SFLVNC,24.98,3.4 out of 5 stars,64,https://www.amazon.com/Hersheys-Milk-Chocolate-Miniatures-Candy/dp/B0C3SFLVNC/ref=sr_1_10?keywords=chocolate+bars&qid=1691813012&sr=8-10,https://m.media-amazon.com/images/I/91t1FI2sa5L._AC_UL320_.jpg
