product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Nicorette 4 mg Coated Nicotine Gum to Help Quit Smoking with Behavioral Support Program - Cinnamon Surge Flavored Stop Smoking Aid, 160 Count",B095KWVSKC,58.99,4.6 out of 5 stars,387,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDAwNTI4MzI5OTQyMDc3OjE2OTE4MTI5NTk6c3BfYXRmOjIwMDA3MjA4OTMxMDI1MTo6MDo6&url=%2FNicorette-Nicotine-Smoking-Behavioral-Support%2Fdp%2FB095KWVSKC%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcigarette%26qid%3D1691812959%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/816SFyZTjDL._AC_UL400_.jpg
"Honey rose Herbal Cigarettes, Tea Flavor - Tobacco and Nicotine Free 2 Packs 40 Smokes",B09B9G562T,14.88,3.1 out of 5 stars,"1,321",https://www.amazon.com/Honeyrose-Herbal-Cigarettes-Tobacco-Nicotine/dp/B09B9G562T/ref=sr_1_2?keywords=cigarette&qid=1691812959&sr=8-2,https://m.media-amazon.com/images/I/71OblTWlEjL._AC_UL400_.jpg
Honey Rose Herbal Cigarettes - Tobacco and Nicotine Free - Add Mint and Honey- 2 Packs 40 Smokes,B0C158STGP,14.98,3.9 out of 5 stars,47,https://www.amazon.com/Honey-Rose-Herbal-Cigarettes-Nicotine/dp/B0C158STGP/ref=sr_1_3?keywords=cigarette&qid=1691812959&sr=8-3,https://m.media-amazon.com/images/I/71Hhm8UT+-L._AC_UL400_.jpg
"Justrite 26806D Polyethylene Personal Smokers Cease Fire Cigarette Butt Receptacle, 1 Gallon Capacity, 11"" OD x 30"" Height, Deco Black",B0023ARNIW,76.27,4.6 out of 5 stars,"2,415",https://www.amazon.com/Justrite-26806D-Polyethylene-Cigarette-Receptacle/dp/B0023ARNIW/ref=sr_1_4?keywords=cigarette&qid=1691812959&sr=8-4,https://m.media-amazon.com/images/I/51D10JvEGyL._AC_UL400_.jpg
"Amscan Fake Puff Cigarettes - 3 1/4', 6 Pcs",B014B20XEA,5.10,4.2 out of 5 stars,"3,785",https://www.amazon.com/amscan-842784-Fake-Puff-Cigarettes/dp/B014B20XEA/ref=sr_1_5?keywords=cigarette&qid=1691812959&sr=8-5,https://m.media-amazon.com/images/I/71RRVo+NmXL._AC_UL400_.jpg
Herbal Cigarettes - Tobacco and Nicotine Free 2 Packs 40 Smokes,B07VYJX856,15.85,3.0 out of 5 stars,"2,229",https://www.amazon.com/Herbal-Cigarettes-Tobacco-Nicotine-Smokes/dp/B07VYJX856/ref=sr_1_6?keywords=cigarette&qid=1691812959&sr=8-6,https://m.media-amazon.com/images/I/61r14dA0u3L._AC_UL400_.jpg
Herbal Cigarettes - Tobacco and Nicotine Free-Made from Pure Herbs with Added Honey- 2 Packs and 4 Packs (2 Packs 40 Smokes),B09TB7LHD5,12.88,3.5 out of 5 stars,46,https://www.amazon.com/Herbal-Cigarettes-Tobacco-Nicotine-Free-Made/dp/B09TB7LHD5/ref=sr_1_7?keywords=cigarette&qid=1691812959&sr=8-7,https://m.media-amazon.com/images/I/71yuaMiy0LL._AC_UL400_.jpg
"Herbal Cigarettes - Tobacco and Nicotine Free, Infused with Natural Herbs and Honey (4 Packs, 80 Smokes)",B0BY5BQ97H,28.88,3.6 out of 5 stars,69,https://www.amazon.com/Herbal-Cigarettes-Tobacco-Nicotine-Infused/dp/B0BY5BQ97H/ref=sr_1_8?keywords=cigarette&qid=1691812959&sr=8-8,https://m.media-amazon.com/images/I/71uI5YfN8NL._AC_UL400_.jpg
Hawk-Matic HK2 Electric Cigarette Injector Machine for Size of Tubes: King & 100mm,B08514MNGN,62.23,4.7 out of 5 stars,"2,247",https://www.amazon.com/Hawk-Matic-Electrical-Cigarette-Injector-Machine/dp/B08514MNGN/ref=sr_1_9?keywords=cigarette&qid=1691812959&sr=8-9,https://m.media-amazon.com/images/I/71QqnRJ08wL._AC_UL400_.jpg
"DTGDI Tea Herbal Cigarettes, Tobacco and Nicotine Free, 4 Packs 80 Smokes",B0BHY64SS9,25.88,3.5 out of 5 stars,125,https://www.amazon.com/Herbal-Cigarettes-Tobacco-Nicotine-Smokes/dp/B0BHY64SS9/ref=sr_1_10?keywords=cigarette&qid=1691812959&sr=8-10,https://m.media-amazon.com/images/I/71vKejBRv3L._AC_UL400_.jpg
"TAAT Herbal Cigarettes - Natural, Nicotine-Free, Tobacco-Free - Natural Herbal Smoking Blend Alternative with 50mg Extract for Adults - Full Flavors, Delicate Taste - 20-Stick Flip Top Pack (Original)",B09P482G8X,9.75,3.4 out of 5 stars,150,https://www.amazon.com/TAAT-Herbal-Cigarettes-Nicotine-Free-Tobacco-Free/dp/B09P482G8X/ref=sr_1_11?keywords=cigarette&qid=1691812959&sr=8-11,https://m.media-amazon.com/images/I/51IbQ30iPBL._AC_UL400_.jpg
"WOAIK Herbal Slim Cigarettes, Nicotine Free, Tobacco Free, Smoking Cessation Aids, 2 Packs - 40 Smokes",B0BPJHKPKM,12.86,3.6 out of 5 stars,123,https://www.amazon.com/WOAIK-Cigarettes-Nicotine-Tobacco-Cessation/dp/B0BPJHKPKM/ref=sr_1_12?keywords=cigarette&qid=1691812959&sr=8-12,https://m.media-amazon.com/images/I/61XeWjXmYPL._AC_UL400_.jpg
"Funny Cigarette Dispenser, Prank Automatic Bounce Cigarette Case Box, Weird Old Man in The Wooden Barrel Cigarette Box Figurines Statue for Christmas Party Home Decor, Prank Toy Gift for Man",B0BCG94SN1,17.99,4.2 out of 5 stars,179,https://www.amazon.com/Cigarette-Dispenser-Automatic-Figurines-Christmas/dp/B0BCG94SN1/ref=sr_1_13?keywords=cigarette&qid=1691812959&sr=8-13,https://m.media-amazon.com/images/I/618RYEko57L._AC_UL400_.jpg
Herbal Cigarettes - Tobacco and Nicotine Free 4 Packs 80 Smokes,B083RTY67F,29.99,3.3 out of 5 stars,"1,535",https://www.amazon.com/Herbal-Cigarettes-Tobacco-Nicotine-Smokes/dp/B083RTY67F/ref=sr_1_14?keywords=cigarette&qid=1691812959&sr=8-14,https://m.media-amazon.com/images/I/61sm1hgxSOL._AC_UL400_.jpg
