product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
David’s Cookies Gourmet Butter Pecan Meltaway Cookies Gift Basket – 32oz Butter Cookies with Crunchy Pecans and Powdered Sugar – All-Natural Ingredients – Kosher Recipe – Ideal Gift for Corporate Birthday Fathers Mothers Day Get Well and Other Special Occasions,B0000DA0XJ,32.99,4.2 out of 5 stars,"14,490",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMzkzOTM4OTU4MTUwMjg6MTY5MTgxMzE5NzpzcF9hdGY6MjAwMDM2NDUyNDE1Mjk4OjowOjo&url=%2FDavids-Cookies-Butter-Pecan-Melt%2Fdp%2FB0000DA0XJ%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcookies%26qid%3D1691813197%26rdc%3D1%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71SII1aCu-L._AC_UL320_.jpg
"Amazon Brand - Happy Belly Pecan Shortbread, 11.3 Ounce",B08BD4Y9S5,2.07,4.3 out of 5 stars,"14,300",https://www.amazon.com/Happy-Belly-Pecan-Shortbread-11-3/dp/B08BD4Y9S5/ref=sr_1_2?keywords=cookies&qid=1691813197&sr=8-2,https://m.media-amazon.com/images/I/71YeH-4TnDL._AC_UL320_.jpg
Grandma's Cookies Variety Pack of 30,B076BYR9JP,16.48,4.5 out of 5 stars,"65,753",https://www.amazon.com/Grandmas-Cookies-Variety-Pack-Count/dp/B076BYR9JP/ref=sr_1_3?keywords=cookies&qid=1691813197&sr=8-3,https://m.media-amazon.com/images/I/91afkHiUzDS._AC_UL320_.jpg
"OREO Original, OREO Golden, CHIPS AHOY! & Nutter Butter Cookie Snacks Variety Pack, School Lunch Box Snacks, 56 Snack Packs (2 Cookies Per Pack)",B0872ZMXBG,22.58,4.6 out of 5 stars,"82,490",https://www.amazon.com/Original-Golden-Variety-Halloween-Cookies/dp/B0872ZMXBG/ref=sr_1_4?keywords=cookies&qid=1691813197&sr=8-4,https://m.media-amazon.com/images/I/81p8sciFxCL._AC_UL320_.jpg
"Nabisco Sweet Treats Cookie Variety Pack OREO, OREO Golden & CHIPS AHOY!, 30 Snack Packs (2 Cookies Per Pack)",B071XHP12B,11.98,4.7 out of 5 stars,"45,195",https://www.amazon.com/Nabisco-Sweet-Treats-Variety-Cookies/dp/B071XHP12B/ref=sr_1_5?keywords=cookies&qid=1691813197&sr=8-5,https://m.media-amazon.com/images/I/816xrTPWbgL._AC_UL320_.jpg
"Bauducco Vanilla Wafers - Crispy Wafer Cookies With 3 Delicious, Indulgent, Decadent Layers of Vanilla Flavored Cream - Delicious Sweet Snack or Desert - 5.82oz (Pack of 1)",B007W3DDUW,0.98,4.3 out of 5 stars,"3,872",https://www.amazon.com/Bauducco-Cookie-Wafer-Sugar-Vanilla/dp/B007W3DDUW/ref=sr_1_6?keywords=cookies&qid=1691813197&sr=8-6,https://m.media-amazon.com/images/I/71IPTAEaSkL._AC_UL320_.jpg
"Pepperidge Farm Chocolate Collection, 7 Cookie Varieties, 13-oz Box",B016S52XNM,7.78,4.4 out of 5 stars,"2,300",https://www.amazon.com/Pepperidge-Farm-Cookie-Collections-Chocolate/dp/B016S52XNM/ref=sr_1_7?keywords=cookies&qid=1691813197&sr=8-7,https://m.media-amazon.com/images/I/91+vMP1VIsL._AC_UL320_.jpg
"CHIPS AHOY! Chunky Chocolate Chunk Cookies, Party Size, 24.75 oz",B08LGMVQX7,4.99,4.6 out of 5 stars,"13,971",https://www.amazon.com/Chips-Ahoy-Chunky-Cookies-Chocolate/dp/B08LGMVQX7/ref=sr_1_8?keywords=cookies&qid=1691813197&sr=8-8,https://m.media-amazon.com/images/I/81eMf22qgmL._AC_UL320_.jpg
"Pepperidge Farm Milano Cookies, Raspberry Chocolate, 7 oz. Bag",B00JK04QK6,3.82,4.4 out of 5 stars,775,https://www.amazon.com/Pepperidge-Farm-Cookies-Raspberry-24-count/dp/B00JK04QK6/ref=sr_1_9?keywords=cookies&qid=1691813197&sr=8-9,https://m.media-amazon.com/images/I/718qpRR+kbL._AC_UL320_.jpg
"Pillsbury Mini Soft Baked Cookies, Chocolate Chip, Snack Bags, 12 ct",B09ZQ1RQ92,5.88,4.5 out of 5 stars,732,https://www.amazon.com/Pillsbury-Baked-Cookies-Chocolate-Count/dp/B09ZQ1RQ92/ref=sr_1_10?keywords=cookies&qid=1691813197&sr=8-10,https://m.media-amazon.com/images/I/81Ffjcb-XdL._AC_UL320_.jpg
