product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Amazon Brand - Happy Belly Cinnamon Graham Crackers, 14.4 Ounce",B07WTRW9SH,3.38,4.4 out of 5 stars,"17,265",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozOTM3Njc1Nzc3OTM1MjgyOjE2OTE4MTMyODA6c3BfYXRmOjIwMDAyNTEzMzgxNzIzMTo6MDo6&url=%2FAmazon-Brand-Cinnamon-Graham-Crackers%2Fdp%2FB07WTRW9SH%2Fref%3Dsr_1_1_ffob_sspa%3Fcrid%3DGMFUCLUJFLNH%26keywords%3Dcrackers%26qid%3D1691813279%26sprefix%3D%252Caps%252C67%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/814yq6dhHlL._AC_UL400_.jpg
"Simple Mills Almond Flour Crackers, Farmhouse Cheddar - Gluten Free, Healthy Snacks, 4.25 Ounce (Pack of 1)",B01CI3TA5M,4.48,4.4 out of 5 stars,"22,523",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozOTM3Njc1Nzc3OTM1MjgyOjE2OTE4MTMyODA6c3BfYXRmOjIwMDAyODA3MDIzOTQ0MTo6MDo6&url=%2FSimple-Mills-Crackers-Farmhouse-Naturally%2Fdp%2FB01CI3TA5M%2Fref%3Dsr_1_2_sspa%3Fcrid%3DGMFUCLUJFLNH%26keywords%3Dcrackers%26qid%3D1691813279%26sprefix%3D%252Caps%252C67%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71a8KqEbnBS._AC_UL400_.jpg
"Sanissimo Salmas Salted, 40 packs of 3 Crackers, Oven Baked Corn Crackers, Gluten Free, Non GMO, Kosher Certified",B0C885P8YQ,15.39,4.6 out of 5 stars,"1,544",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozOTM3Njc1Nzc3OTM1MjgyOjE2OTE4MTMyODA6c3BfYXRmOjMwMDAyNzI1OTU5ODMwMjo6MDo6&url=%2FSanissimo-Salmas-Salted-Crackers-Certified%2Fdp%2FB0C885P8YQ%2Fref%3Dsr_1_3_sspa%3Fcrid%3DGMFUCLUJFLNH%26keywords%3Dcrackers%26qid%3D1691813279%26sprefix%3D%252Caps%252C67%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71Wd0C+N5NL._AC_UL400_.jpg
"Goldfish Crackers Big Smiles Variety Pack with Cheddar, Colors, and Pretzels, Snack Packs, 30 Ct",B01GQ5GQEG,12.86,4.8 out of 5 stars,"89,763",https://www.amazon.com/Pepperidge-Farm-Goldfish-Crackers-Classic/dp/B01GQ5GQEG/ref=sr_1_4?crid=GMFUCLUJFLNH&keywords=crackers&qid=1691813279&sprefix=%2Caps%2C67&sr=8-4,https://m.media-amazon.com/images/I/81SCalI51YL._AC_UL400_.jpg
"Crackers Variety Pack Individually Wrapped Assortment Including Crackers and Cheese Snack Pack, Crackers with Peanut Butter, Lance, Goldfish, Ritz, Austin, Cheez-Its and More Bulk (40 Count)",B07VY8GFQZ,39.99,4.4 out of 5 stars,"1,473",https://www.amazon.com/Crackers-Individually-Assortment-Including-Cheez-Its/dp/B07VY8GFQZ/ref=sr_1_5?crid=GMFUCLUJFLNH&keywords=crackers&qid=1691813279&sprefix=%2Caps%2C67&sr=8-5,https://m.media-amazon.com/images/I/91GyvXT5vgL._AC_UL400_.jpg
"RITZ Original Crackers, Family Size, 3 Boxes",B07ZV3323B,16.85,4.8 out of 5 stars,"25,969",https://www.amazon.com/Ritz-Original-Crackers-Family-Boxes/dp/B07ZV3323B/ref=sr_1_6?crid=GMFUCLUJFLNH&keywords=crackers&qid=1691813279&sprefix=%2Caps%2C67&sr=8-6,https://m.media-amazon.com/images/I/81E8CGXfrkL._AC_UL400_.jpg
"Amazon Brand - Happy Belly Original Country Club Crackers, 13.7 Ounce",B08BG6D4HB,3.84,4.4 out of 5 stars,"17,265",https://www.amazon.com/Amazon-Brand-Happy-Country-Crackers/dp/B08BG6D4HB/ref=sr_1_7?crid=GMFUCLUJFLNH&keywords=crackers&qid=1691813279&sprefix=%2Caps%2C67&sr=8-7,https://m.media-amazon.com/images/I/71fLLHqJKoL._AC_UL400_.jpg
"RITZ Cheese Sandwich Crackers, School Lunch Box Snacks, 48 - 1.35 oz Snack Packs (6 Boxes)",B07K137J7J,21.12,4.7 out of 5 stars,"54,348",https://www.amazon.com/Ritz-Cheese-Cracker-Sandwiches-Individual/dp/B07K137J7J/ref=sr_1_8?crid=GMFUCLUJFLNH&keywords=crackers&qid=1691813279&sprefix=%2Caps%2C67&sr=8-8,https://m.media-amazon.com/images/I/81lwPpV393L._AC_UL400_.jpg
"Nabisco Entertainment Crackers Variety Pack, Original Water, Vegetable, Pepper & Poppy, Wheat, 8 Individual Sleeves, 2 lb 8 oz",B0018QHS3M,24.61,4.1 out of 5 stars,86,https://www.amazon.com/Nabisco-Entertainment-Crackers-Collection-Ounce/dp/B0018QHS3M/ref=sr_1_9?crid=GMFUCLUJFLNH&keywords=crackers&qid=1691813279&sprefix=%2Caps%2C67&sr=8-9,https://m.media-amazon.com/images/I/91CgcHOQXmL._AC_UL400_.jpg
"Firehook, Sea Salt Mediterranean Crackers (4 pack)",B07J2Z99G1,25.71,4.5 out of 5 stars,299,https://www.amazon.com/Firehook-Salt-Mediterranean-Crackers-pack/dp/B07J2Z99G1/ref=sr_1_10?crid=GMFUCLUJFLNH&keywords=crackers&qid=1691813279&sprefix=%2Caps%2C67&sr=8-10,https://m.media-amazon.com/images/I/41550DQgHDL._AC_UL400_.jpg
