product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Cupcake Liners for Baking 100Pack,Free-Air 3.5Oz Foil Baking Cups with Dome Lids,Disposable Muffin Tins Muffin Cups for Wedding Birthday Party, with Spoons-Pink in gold",B09LQDK41Q,16.49,4.2 out of 5 stars,"1,804",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTYzOTQzMDYwMzYxNjQwOjE2OTE4MTM2NDk6c3BfYXRmOjIwMDA4NTAxOTY3OTE5ODo6MDo6&url=%2FCupcake-Free-Air-Disposable-Birthday-Spoons-Pink%2Fdp%2FB09LQDK41Q%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcupcakes%26qid%3D1691813649%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/813VdiLsKfL._AC_UL400_.jpg
Happy Birthday Cupcakes Large Gift Basket Rainbow Sprinkle Chocolate Sprinkle | 7 INDIVIDUALLY WRAPPED Fresh,B09WBWW942,22.99,3.8 out of 5 stars,345,https://www.amazon.com/Birthday-Cupcakes-Sprinkle-Chocolate-INDIVIDUALLY/dp/B09WBWW942/ref=sr_1_2?keywords=cupcakes&qid=1691813649&sr=8-2,https://m.media-amazon.com/images/I/71AieCT6jFL._AC_UL400_.jpg
"Fresh Brand – Chocolate Cupcakes, 11.2 oz (6 ct)",B0841S7WL5,8.29,4.5 out of 5 stars,"1,198",https://www.amazon.com/Fresh-Brand-Chocolate-Cupcakes-11-2/dp/B0841S7WL5/ref=sr_1_3_f3_0o_fs?keywords=cupcakes&qid=1691813649&sr=8-3,https://m.media-amazon.com/images/I/81ncoTLByML._AC_UL400_.jpg
"Fresh Brand – Vanilla Cupcakes, 11.2 oz (6 ct)",B0841S6DT4,8.29,4.5 out of 5 stars,"1,920",https://www.amazon.com/Fresh-Brand-Vanilla-Cupcakes-11-2/dp/B0841S6DT4/ref=sr_1_4_f3_0o_fs?keywords=cupcakes&qid=1691813649&sr=8-4,https://m.media-amazon.com/images/I/81B7b11JeyL._AC_UL400_.jpg
"RUBICON BAKERY Triple Lemon Cupcakes 4ct, 9 OZ",B0785WDDYW,6.99,4.7 out of 5 stars,812,https://www.amazon.com/RUBICON-BAKERY-Triple-Lemon-Cupcake/dp/B0785WDDYW/ref=sr_1_5_f3_0o_wf?keywords=cupcakes&qid=1691813649&sr=8-5,https://m.media-amazon.com/images/I/715tFOYg+QL._AC_UL400_.jpg
Happy Birthday Cupcakes | 12 Individually Wrapped MINI Cupcakes Topped with Chocolate & Rainbow Sprinkles Bakery & Dessert Gifts for Men Women & Kids | Kosher Dairy & Nut Free Bakery-Stern’s Bakery,B08S7SDBQG,24.95,4.0 out of 5 stars,309,https://www.amazon.com/Individually-Valentine-Christmas-Sterns-Bakery/dp/B08S7SDBQG/ref=sr_1_6?keywords=cupcakes&qid=1691813649&sr=8-6,https://m.media-amazon.com/images/I/81hsLRpI8AL._AC_UL400_.jpg
"Fresh Brand – Vanilla Mini Cupcakes, 10 oz (12 ct)",B0841RZWGQ,4.49,4.6 out of 5 stars,"3,948",https://www.amazon.com/Fresh-Brand-Vanilla-Mini-Cupcakes/dp/B0841RZWGQ/ref=sr_1_7_f3_0o_fs?keywords=cupcakes&qid=1691813649&sr=8-7,https://m.media-amazon.com/images/I/81Gs5jFYHbL._AC_UL400_.jpg
Hostess Chocolate Cupcakes 12.7 oz. Box (16 Count),B076LZQJ13,16.84,4.4 out of 5 stars,699,https://www.amazon.com/Hostess-Chocolate-Cupcakes-12-7-Count/dp/B076LZQJ13/ref=sr_1_8?keywords=cupcakes&qid=1691813649&sr=8-8,https://m.media-amazon.com/images/I/510KuwcoGnL._AC_UL400_.jpg
"RUBICON BAKERY Vanilla Cupcakes 4ct, 10 OZ",B07GL8W9HF,6.99,4.5 out of 5 stars,"1,088",https://www.amazon.com/Rubicon-Bakery-Cupcake-Vanilla-Vegan/dp/B07GL8W9HF/ref=sr_1_9_f3_0o_wf?keywords=cupcakes&qid=1691813649&sr=8-9,https://m.media-amazon.com/images/I/81IqAp3VO9L._AC_UL400_.jpg
"48pcs Blueys Cake Toppers Cupcake Toppers,Blueys Birthday Party Decoration Cake Decorations for Blueys party Supplies",B0CBYK312N,8.99,0,0,https://www.amazon.com/Toppers-Birthday-Decoration-Decorations-Supplies/dp/B0CBYK312N/ref=sr_1_10?keywords=cupcakes&qid=1691813649&sr=8-10,https://m.media-amazon.com/images/I/611tHnGZ95L._AC_UL400_.jpg
