product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"90pack Craft Foam Eggs, White Smooth Craft Foam Eggs(5 Sizes Including 1-2.2 inch) for Easter, Halloween, Christmas, School, DIY Painting Projects",B09NN1FSB2,10.99,4.4 out of 5 stars,144,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNDQyNzIzNjQyMjI5MTk4OjE2OTE4MDkxMzI6c3BfYXRmOjIwMDA0Njg1MTQ3NDA5ODo6MDo6&url=%2FIncluding-Polystyrene-Styrofoam-Halloween-Decoration%2Fdp%2FB09NN1FSB2%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Deggs%26qid%3D1691809132%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61aZA3rKlmL._AC_UL400_.jpg
"Vital Farms, Large Grade A Eggs, 12 Count",B0849MZ45Y,6.47,4.9 out of 5 stars,"7,587",https://www.amazon.com/VITAL-FARMS-Large-Grade-Eggs/dp/B0849MZ45Y/ref=sr_1_2_f3_0o_wf?keywords=eggs&qid=1691809132&sr=8-2,https://m.media-amazon.com/images/I/81AnEgw+12L._AC_UL400_.jpg
"365 by Whole Foods Market, Cage-Free Large Brown Grade A Eggs, 12 Count (Pack of 1)",B074H5HJ32,3.49,4.8 out of 5 stars,"22,115",https://www.amazon.com/365-Everyday-Value-Cage-Free-Non-GMO/dp/B074H5HJ32/ref=sr_1_3_f3_0o_fs?keywords=eggs&qid=1691809132&sr=8-3,https://m.media-amazon.com/images/I/417mI7YZDHL._AC_UL400_.jpg
"Organic Valley Eggs Grade A Large Brown, 18 Count",B08QX1JTCX,7.99,4.8 out of 5 stars,"1,671",https://www.amazon.com/Organic-Valley-Grade-Large-Brown/dp/B08QX1JTCX/ref=sr_1_4_f3_0o_fs?keywords=eggs&qid=1691809132&sr=8-4,https://m.media-amazon.com/images/I/71-UxNsbGWL._AC_UL400_.jpg
"Vital Farms 18 Pasture-Raised Eggs, Large, Brown, Grade A, Certified Humane, 1.5 Dozen",B01MZHDHVM,10.49,4.8 out of 5 stars,"8,795",https://www.amazon.com/Vital-Farms-Pasture-Raised-Eggs-18/dp/B01MZHDHVM/ref=sr_1_5_f3_0o_wf?keywords=eggs&qid=1691809132&sr=8-5,https://m.media-amazon.com/images/I/7161bh6pQfL._AC_UL400_.jpg
"365 by Whole Foods Market, Eggs Brown Large Grade A, 12 Count",B07PFDYT9T,4.29,4.7 out of 5 stars,"8,805",https://www.amazon.com/365-Everyday-Value-Brown-Non-Gmo/dp/B07PFDYT9T/ref=sr_1_6_f3_0o_wf?keywords=eggs&qid=1691809132&sr=8-6,https://m.media-amazon.com/images/I/71k5Mq3SJhL._AC_UL400_.jpg
"Amazon Brand - Happy Belly Cage-Free, Large, White Eggs, 1 Dozen (Packaging May Vary)",B07GBM7TZJ,3.59,4.7 out of 5 stars,"23,939",https://www.amazon.com/Amazon-Brand-Happy-Belly-Cage-Free/dp/B07GBM7TZJ/ref=sr_1_7_f3_0o_fs?keywords=eggs&qid=1691809132&sr=8-7,https://m.media-amazon.com/images/I/71QF+PYJxbL._AC_UL400_.jpg
"Amazon Brand - Happy Belly Cage Free Large White Eggs, Grade A, 18 Count (Packaging May Vary)",B07ZS7B3VM,6.99,4.8 out of 5 stars,"18,643",https://www.amazon.com/Amazon-Brand-Happy-Belly-Large/dp/B07ZS7B3VM/ref=sr_1_8_f3_0o_fs?keywords=eggs&qid=1691809132&sr=8-8,https://m.media-amazon.com/images/I/81Y38UqoTdL._AC_UL400_.jpg
Vital Farms Pasture-Raised Grade A Large Eggs - 12ct,B00TNWEN18,7.79,4.8 out of 5 stars,"8,660",https://www.amazon.com/Vital-Farms-Alfresco-Pasture-Raised/dp/B00TNWEN18/ref=sr_1_9_f3_0o_fs?keywords=eggs&qid=1691809132&sr=8-9,https://m.media-amazon.com/images/I/81AnEgw+12L._AC_UL400_.jpg
"Amazon Brand - Happy Belly Cage-Free, Large, Brown Eggs, 1 Dozen (Packaging May Vary)",B07GBLQF6H,3.59,4.8 out of 5 stars,"19,576",https://www.amazon.com/Amazon-Brand-Happy-Belly-Cage-Free/dp/B07GBLQF6H/ref=sr_1_10_f3_0o_fs?keywords=eggs&qid=1691809132&sr=8-10,https://m.media-amazon.com/images/I/81y-CAH1wUL._AC_UL400_.jpg
