product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
Medium Hass Avocado,B000NOGKN4,1.29,4.6 out of 5 stars,"26,410",https://www.amazon.com/Hass-Avocado-Large-Ready-Eat/dp/B000NOGKN4/ref=sr_1_1_f3_0o_wf?crid=92RPEK27MGAW&keywords=fresh+avocado&qid=1691815520&sprefix=%2Caps%2C67&sr=8-1,https://m.media-amazon.com/images/I/81LKLCmdAQL._AC_UL400_.jpg
Large Hass Avocado,B000P72UZG,1.79,4.6 out of 5 stars,"32,332",https://www.amazon.com/produce-aisle-411048-Avocado-Large/dp/B000P72UZG/ref=sr_1_2_f3_0o_fs?crid=92RPEK27MGAW&keywords=fresh+avocado&qid=1691815520&sprefix=%2Caps%2C67&sr=8-2,https://m.media-amazon.com/images/I/619kvpSzUVL._AC_UL400_.jpg
"Bagged Hass Avocados, 6 Count",B09XXV8H97,3.99,4.3 out of 5 stars,"1,464",https://www.amazon.com/Bagged-Hass-Avocados-6-Count/dp/B09XXV8H97/ref=sr_1_3_f3_0o_wf?crid=92RPEK27MGAW&keywords=fresh+avocado&qid=1691815520&sprefix=%2Caps%2C67&sr=8-3,https://m.media-amazon.com/images/I/81V2QikOtiL._AC_UL400_.jpg
"365 by Whole Foods Market, Hass Avocados, 4 Count",B07Y45NJCW,4.59,4.5 out of 5 stars,"22,627",https://www.amazon.com/365-Everyday-Value-Avocados-Count/dp/B07Y45NJCW/ref=sr_1_4_f3_0o_fs?crid=92RPEK27MGAW&keywords=fresh+avocado&qid=1691815520&sprefix=%2Caps%2C67&sr=8-4,https://m.media-amazon.com/images/I/81rbsK3NXkL._AC_UL400_.jpg
Large Organic Hass Avocado,B0014GLSE6,2.69,4.6 out of 5 stars,"16,391",https://www.amazon.com/produce-aisle-701920-Organic-Avocado/dp/B0014GLSE6/ref=sr_1_5_f3_0o_fs?crid=92RPEK27MGAW&keywords=fresh+avocado&qid=1691815520&sprefix=%2Caps%2C67&sr=8-5,https://m.media-amazon.com/images/I/81LKLCmdAQL._AC_UL400_.jpg
"Avocado Hass Bag Organic, 4 Count",B07FYCB4WX,5.99,4.5 out of 5 stars,"5,756",https://www.amazon.com/Organic-Bagged-Avocado-4-ct/dp/B07FYCB4WX/ref=sr_1_6_f3_0o_wf?crid=92RPEK27MGAW&keywords=fresh+avocado&qid=1691815520&sprefix=%2Caps%2C67&sr=8-6,https://m.media-amazon.com/images/I/81BYpBBbOiL._AC_UL400_.jpg
"365 by Whole Foods Market, Organic Hass Avocados, 4 Count",B07Y45LLLJ,5.99,4.6 out of 5 stars,"22,753",https://www.amazon.com/365-Everyday-Value-Organic-Avocados/dp/B07Y45LLLJ/ref=sr_1_7_f3_0o_fs?crid=92RPEK27MGAW&keywords=fresh+avocado&qid=1691815520&sprefix=%2Caps%2C67&sr=8-7,https://m.media-amazon.com/images/I/81nuyDtwCqL._AC_UL400_.jpg
"Hass Avocados, 4 ct Bag",B000P6X4WA,5.49,4.5 out of 5 stars,"5,499",https://www.amazon.com/Bagged-Hass-Avocados-4ct-Small/dp/B000P6X4WA/ref=sr_1_8_f3_0o_wf?crid=92RPEK27MGAW&keywords=fresh+avocado&qid=1691815520&sprefix=%2Caps%2C67&sr=8-8,https://m.media-amazon.com/images/I/81gBWkbTjXL._AC_UL400_.jpg
Fresh Avocado (6 Avocados),B0095WY9O2,24.30,3.9 out of 5 stars,88,https://www.amazon.com/The-Fresh-Fruit-Avocado-Avocados/dp/B0095WY9O2/ref=sr_1_9?crid=92RPEK27MGAW&keywords=fresh+avocado&qid=1691815520&sprefix=%2Caps%2C67&sr=8-9,https://m.media-amazon.com/images/I/21YGFuSBFqL._AC_UL400_.jpg
"Wholly Avocado Smashed, 8 Ounce",B09KNXYWPK,4.99,4.5 out of 5 stars,82,https://www.amazon.com/Wholly-Avocado-Smashed-8-Ounce/dp/B09KNXYWPK/ref=sr_1_10_f3_0o_fs?crid=92RPEK27MGAW&keywords=fresh+avocado&qid=1691815520&sprefix=%2Caps%2C67&sr=8-10,https://m.media-amazon.com/images/I/810Cozc8nqL._AC_UL400_.jpg
