product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Bananas, One Bunch",B07ZLF9WQ5,2.21,4.6 out of 5 stars,"41,838",https://www.amazon.com/Fyffes-Bananas-One-Banded-Bunch/dp/B07ZLF9WQ5/ref=sr_1_1_f3_0o_fs?crid=3577O3NPMYNON&keywords=fresh+bananas&qid=1691813955&sprefix=%2Caps%2C65&sr=8-1,https://m.media-amazon.com/images/I/71gI-IUNUkL._AC_UL400_.jpg
"Organic Bananas, One Bunch",B07ZLFKBFD,1.39,4.6 out of 5 stars,"37,369",https://www.amazon.com/Fyffes-Organic-Bananas-Banded-Bunch/dp/B07ZLFKBFD/ref=sr_1_2_f3_0o_fs?crid=3577O3NPMYNON&keywords=fresh+bananas&qid=1691813955&sprefix=%2Caps%2C65&sr=8-2,https://m.media-amazon.com/images/I/71gI-IUNUkL._AC_UL400_.jpg
"Banana, 1 Each",B07FYYKKQK,0.18,4.7 out of 5 stars,"19,546",https://www.amazon.com/Produce-PRODUCE-Whole-Trade-Banana/dp/B07FYYKKQK/ref=sr_1_3_f3_0o_wf?crid=3577O3NPMYNON&keywords=fresh+bananas&qid=1691813955&sprefix=%2Caps%2C65&sr=8-3,https://m.media-amazon.com/images/I/31zxVniGbKL._AC_UL400_.jpg
FRESH BANANAS FRESH FRUIT VEGETABLES PRODUCE PER LB,B01BZIQ3P6,13.84,3.0 out of 5 stars,260,https://www.amazon.com/FRESH-BANANAS-FRUIT-VEGETABLES-PRODUCE/dp/B01BZIQ3P6/ref=sr_1_4?crid=3577O3NPMYNON&keywords=fresh+bananas&qid=1691813955&sprefix=%2Caps%2C65&sr=8-4,https://m.media-amazon.com/images/I/21DejQuoT2L._AC_UL400_.jpg
"Amazon Fresh - Banana Pudding Dessert Parfait, Single Serving, 5oz",B09WZVM286,2.99,4.1 out of 5 stars,63,https://www.amazon.com/Fresh-Prepared-Culinary-ASIN-Shell/dp/B09WZVM286/ref=sr_1_5_f3_0o_fs?crid=3577O3NPMYNON&keywords=fresh+bananas&qid=1691813955&sprefix=%2Caps%2C65&sr=8-5,https://m.media-amazon.com/images/I/81ul5TuBFML._AC_UL400_.jpg
"NATIERRA Organic Freeze-Dried Bananas USDA Certified Organic, Vegan & Non-GMO 2.5 Ounce (Pack of 1)",B005M4G2VA,6.84,4.1 out of 5 stars,"1,035",https://www.amazon.com/Natierra-Natures-Organic-Freeze-Dried-Bananas/dp/B005M4G2VA/ref=sr_1_6?crid=3577O3NPMYNON&keywords=fresh+bananas&qid=1691813955&sprefix=%2Caps%2C65&sr=8-6,https://m.media-amazon.com/images/I/61pLzWSw4zL._AC_UL400_.jpg
"Fresh Brand – Banana Nut Muffins, 14 oz (4 ct)",B0841RCNRP,4.79,4.6 out of 5 stars,"5,010",https://www.amazon.com/Fresh-Brand-Banana-Nut-Muffins/dp/B0841RCNRP/ref=sr_1_7_f3_0o_fs?crid=3577O3NPMYNON&keywords=fresh+bananas&qid=1691813955&sprefix=%2Caps%2C65&sr=8-7,https://m.media-amazon.com/images/I/81EyBIABToL._AC_UL400_.jpg
"Lucia Banana Blossom in Brine (6 Pack, Total of 102oz)",B084Q991JD,31.99,4.1 out of 5 stars,23,https://www.amazon.com/Lucia-Banana-Blossom-Brine-Total/dp/B084Q991JD/ref=sr_1_8?crid=3577O3NPMYNON&keywords=fresh+bananas&qid=1691813955&sprefix=%2Caps%2C65&sr=8-8,https://m.media-amazon.com/images/I/71YJ5SKpauL._AC_UL400_.jpg
Fresh Organic Bananas Bundle (3 lbs.),B075QN7361,17.53,2.7 out of 5 stars,69,https://www.amazon.com/Fresh-Organic-Bananas-Bundle-lbs/dp/B075QN7361/ref=sr_1_9?crid=3577O3NPMYNON&keywords=fresh+bananas&qid=1691813955&sprefix=%2Caps%2C65&sr=8-9,https://m.media-amazon.com/images/I/61fZ+YAYGaL._AC_UL400_.jpg
Fresh Organic Bananas Approximately 3 Lbs 1 Bunch of 6-9 Bananas,B00ZVIWWB6,17.90,3.0 out of 5 stars,342,https://www.amazon.com/Fresh-Organic-Bananas-Approximately-Bunch/dp/B00ZVIWWB6/ref=sr_1_10?crid=3577O3NPMYNON&keywords=fresh+bananas&qid=1691813955&sprefix=%2Caps%2C65&sr=8-10,https://m.media-amazon.com/images/I/21dA3cYpqOL._AC_UL400_.jpg
