product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Cucumber Slicing, 1 Each",B001W3T2E4,0.89,4.6 out of 5 stars,"56,130",https://www.amazon.com/Produce-Brands-May-Vary-B001W3T2E4/dp/B001W3T2E4/ref=sr_1_1_f3_0o_fs?keywords=fresh+cucumbers&qid=1691815471&sr=8-1,https://m.media-amazon.com/images/I/71t9Hf2OZ0L._AC_UL320_.jpg
"Fresh Brand Mini Cucumbers, 16 Oz",B086WXSSQV,3.49,4.6 out of 5 stars,"12,031",https://www.amazon.com/Fresh-Brand-Mini-Cucumbers-16/dp/B086WXSSQV/ref=sr_1_2_f3_0o_fs?keywords=fresh+cucumbers&qid=1691815471&sr=8-2,https://m.media-amazon.com/images/I/81JYWbCSJwL._AC_UL320_.jpg
"Organic Cucumber, 1 Each",B001PLETDC,2.19,4.7 out of 5 stars,"16,057",https://www.amazon.com/Produce-Brands-May-Vary-B001PLETDC/dp/B001PLETDC/ref=sr_1_3_f3_0o_fs?keywords=fresh+cucumbers&qid=1691815471&sr=8-3,https://m.media-amazon.com/images/I/71hxuisJhRL._AC_UL320_.jpg
"Organic English Seedless Cucumber, 1 Each",B0040QYLW8,2.79,4.6 out of 5 stars,"7,190",https://www.amazon.com/Produce-Brands-May-Vary-Seedless/dp/B0040QYLW8/ref=sr_1_4_f3_0o_wf?keywords=fresh+cucumbers&qid=1691815471&sr=8-4,https://m.media-amazon.com/images/I/71PGRMDYvZL._AC_UL320_.jpg
"Sunset, Cucumber Mini, 12 Ounce",B07BQJV4M3,2.99,4.6 out of 5 stars,"5,761",https://www.amazon.com/Cucumber-Mini-Coventional-12-Ounce/dp/B07BQJV4M3/ref=sr_1_5_f3_0o_wf?keywords=fresh+cucumbers&qid=1691815471&sr=8-5,https://m.media-amazon.com/images/I/81uY4xQLDgL._AC_UL320_.jpg
"English Cucumber, 1 Each",B001PLET96,2.19,4.7 out of 5 stars,"11,291",https://www.amazon.com/Produce-Brands-May-Vary-B001PLET96/dp/B001PLET96/ref=sr_1_6_f3_0o_wf?keywords=fresh+cucumbers&qid=1691815471&sr=8-6,https://m.media-amazon.com/images/I/71AL7tzFiZL._AC_UL320_.jpg
"Organic Mini Cucumbers, 12 Oz",B0040QT7A4,4.39,4.5 out of 5 stars,"5,313",https://www.amazon.com/produce-aisle-B0040QT7A4-Organic-Cucumbers/dp/B0040QT7A4/ref=sr_1_7_f3_0o_fs?keywords=fresh+cucumbers&qid=1691815471&sr=8-7,https://m.media-amazon.com/images/I/71q8AKz3PrL._AC_UL320_.jpg
"PRODUCE Mini Cucumbers, 1 Each",B07FY6BDZ2,2.99,4.6 out of 5 stars,641,https://www.amazon.com/Cucumber-Mini-Conventional-12-Ounce/dp/B07FY6BDZ2/ref=sr_1_8_f3_0o_wf?keywords=fresh+cucumbers&qid=1691815471&sr=8-8,https://m.media-amazon.com/images/I/81WFF5qn86L._AC_UL320_.jpg
Burpee Straight Eight Slicing Cucumber Seeds 200 seeds,B078GK556W,6.97,4.3 out of 5 stars,"3,885",https://www.amazon.com/Burpee-Straight-Eight-Slicing-Cucumber/dp/B078GK556W/ref=sr_1_9?keywords=fresh+cucumbers&qid=1691815471&sr=8-9,https://m.media-amazon.com/images/I/81NDn3ISH6L._AC_UL320_.jpg
"Sunset Cellars, Cucumber Baby Seedless Organic, 12 Ounce",B07816BN5S,4.49,4.6 out of 5 stars,"1,941",https://www.amazon.com/PRODUCE-Organic-Baby-Seedless-Cucumber/dp/B07816BN5S/ref=sr_1_10_f3_0o_wf?keywords=fresh+cucumbers&qid=1691815471&sr=8-10,https://m.media-amazon.com/images/I/814M+WFnfWL._AC_UL320_.jpg
"KOYAH - Organic USA Grown Cucumber Powder (1 Scoop = 1/2 Cup Fresh): 60 Servings, Freeze-dried, Whole-Vegetable Powder",B08WGSGXP3,39.99,4.2 out of 5 stars,198,https://www.amazon.com/KOYAH-Cucumber-Servings-Freeze-dried-Whole-Vegetable/dp/B08WGSGXP3/ref=sr_1_11?keywords=fresh+cucumbers&qid=1691815471&sr=8-11,https://m.media-amazon.com/images/I/61iWaMugJ-L._AC_UL320_.jpg
"Evaxo Farms Mini Cucumbers, 8 ct.#B",B08N5D9243,27.99,5.0 out of 5 stars,2,https://www.amazon.com/Evaxo-Farms-Mini-Cucumbers-ct/dp/B08N5D9243/ref=sr_1_12?keywords=fresh+cucumbers&qid=1691815471&sr=8-12,https://m.media-amazon.com/images/I/41KeXcpNIyL._AC_UL320_.jpg
