product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Fresh Brand – Russet Potatoes, 5 lb",B07XW1TNXZ,4.19,4.7 out of 5 stars,"30,864",https://www.amazon.com/Fresh-Brand-Russet-Potatoes/dp/B07XW1TNXZ/ref=sr_1_1_f3_0o_fs?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-1,https://m.media-amazon.com/images/I/81GhOkcAuVL._AC_UL400_.jpg
"Fresh Brand – Gold Potatoes, 5 lb",B07XW1GNZL,5.69,4.7 out of 5 stars,"12,603",https://www.amazon.com/Fresh-Brand-Gold-Potatoes/dp/B07XW1GNZL/ref=sr_1_2_f3_0o_fs?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-2,https://m.media-amazon.com/images/I/819fIpwZNbL._AC_UL400_.jpg
"Russet Potato, 1 Each",B000NSKB7Q,0.89,4.7 out of 5 stars,"19,130",https://www.amazon.com/produce-aisle-Russet-Potato-Large/dp/B000NSKB7Q/ref=sr_1_3_f3_0o_fs?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-3,https://m.media-amazon.com/images/I/811fGdwqf+L._AC_UL400_.jpg
"Fresh Brand Baby Medley Potatoes, 1.5 lb",B09X14Z1PT,3.79,4.6 out of 5 stars,596,https://www.amazon.com/Amazon-Fresh-Medley-Potatoes-1-5lb/dp/B09X14Z1PT/ref=sr_1_4_f3_0o_fs?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-4,https://m.media-amazon.com/images/I/714VwBEFlWL._AC_UL400_.jpg
"Fresh Brand Baby Gold Potatoes, 1.5 lb",B09X1BRT2K,3.79,4.6 out of 5 stars,553,https://www.amazon.com/Amazon-Fresh-Baby-Potatoes-1-5lb/dp/B09X1BRT2K/ref=sr_1_5_f3_0o_fs?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-5,https://m.media-amazon.com/images/I/41-iEJayTDL._AC_UL400_.jpg
"Utz Potato Stix, Original – 15 Oz. Canister – Shoestring Potato Sticks Made from Fresh Potatoes, Crispy, Crunchy Snacks in Resealable Container, Cholesterol Free, Trans-Fat Free, Gluten-Free Snacks",B008K81P08,4.47,4.6 out of 5 stars,"11,239",https://www.amazon.com/Utz-Potato-Stix-15-Canister/dp/B008K81P08/ref=sr_1_6?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-6,https://m.media-amazon.com/images/I/61O3Wctqw1L._AC_UL400_.jpg
"Organic Yellow Potato, 1 Each",B07PY3GQSQ,0.85,4.7 out of 5 stars,"3,392",https://www.amazon.com/Produce-PRODUCE-Organic-Yellow-Potato/dp/B07PY3GQSQ/ref=sr_1_7_f3_0o_wf?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-7,https://m.media-amazon.com/images/I/71X4n5MmufL._AC_UL400_.jpg
"Potato Creamer Gold Organic, 24 Ounce",B09WMWNWJZ,5.49,4.8 out of 5 stars,935,https://www.amazon.com/Potato-Creamer-Gold-Organic-Ounce/dp/B09WMWNWJZ/ref=sr_1_8_f3_0o_wf?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-8,https://m.media-amazon.com/images/I/51Kp4flEQzL._AC_UL400_.jpg
"Organic Baby Red Potatoes, 24 oz",B000P6G11G,4.04,4.6 out of 5 stars,517,https://www.amazon.com/Baby-Red-Potatoes-24-oz/dp/B000P6G11G/ref=sr_1_9_f3_0o_fs?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-9,https://m.media-amazon.com/images/I/81Sph5jRuOL._AC_UL400_.jpg
Russet Potato,B0787Y5B7D,0.59,4.6 out of 5 stars,"9,479",https://www.amazon.com/Potato-Russet-Conventional-1-Each/dp/B0787Y5B7D/ref=sr_1_10_f3_0o_wf?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-10,https://m.media-amazon.com/images/I/61Nbjtw57tL._AC_UL400_.jpg
"Potato Red Bag Organic, 48 Ounce",B07NR61S7V,4.69,4.6 out of 5 stars,"4,324",https://www.amazon.com/PRODUCE-Organic-Red-Potatoes-48/dp/B07NR61S7V/ref=sr_1_11_f3_0o_wf?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-11,https://m.media-amazon.com/images/I/81tglJsIM5L._AC_UL400_.jpg
"Organic Russet Potatoes, 5 Lb",B000P6G0ZI,5.99,4.6 out of 5 stars,"1,613",https://www.amazon.com/Organic-Russet-Potatoes-5-lb/dp/B000P6G0ZI/ref=sr_1_12_f3_0o_wf?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-12,https://m.media-amazon.com/images/I/71nYyftNNeL._AC_UL400_.jpg
Organic Russet Potato,B07BBLJD8P,0.98,4.6 out of 5 stars,"5,961",https://www.amazon.com/Potato-Russet-Organic-1-Each/dp/B07BBLJD8P/ref=sr_1_13_f3_0o_wf?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-13,https://m.media-amazon.com/images/I/61rcZ-Drp5L._AC_UL400_.jpg
"Fresh Brand – Red Potatoes, 5 lb",B07XW1MJCZ,5.24,4.7 out of 5 stars,"7,513",https://www.amazon.com/Fresh-Brand-Red-Potatoes/dp/B07XW1MJCZ/ref=sr_1_14_f3_0o_fs?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-14,https://m.media-amazon.com/images/I/81sX+tq+ElL._AC_UL400_.jpg
"Russet Potato, 80 Ounce Bag",B0787TC4ZP,4.29,4.6 out of 5 stars,"4,676",https://www.amazon.com/Potato-Russet-Conventional-5-Pound/dp/B0787TC4ZP/ref=sr_1_15_f3_0o_wf?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-15,https://m.media-amazon.com/images/I/81S0pFF5BtL._AC_UL400_.jpg
"Amazon Fresh – Scalloped Potatoes, 4.7 oz",B09SHHYHHT,1.79,4.4 out of 5 stars,85,https://www.amazon.com/Amazon-Fresh-Scalloped-INSTANT-POTATO/dp/B09SHHYHHT/ref=sr_1_16_f3_0o_fs?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-16,https://m.media-amazon.com/images/I/61NyvPefB7L._AC_UL400_.jpg
"Amazon Fresh Sliced Au Gratin Potatoes, 4.7 Oz",B09SHQLV9G,1.49,4.2 out of 5 stars,106,https://www.amazon.com/Fresh-Brand-Gratin-Potatoes-4-7/dp/B09SHQLV9G/ref=sr_1_17?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-17,https://m.media-amazon.com/images/I/71p+RNp8THL._AC_UL400_.jpg
POTATOES RUSSET FRESH PRODUCE 5 LBS,B007S9ULGY,16.84,3.8 out of 5 stars,566,https://www.amazon.com/POTATOES-RUSSET-FRESH-PRODUCE-LBS/dp/B007S9ULGY/ref=sr_1_18?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-18,https://m.media-amazon.com/images/I/41SnI3JpZKL._AC_UL400_.jpg
"Alexia Fresh Frozen Potatoes Baby Heirloom Potatoes With Steak Seasoning, 16 Oz (Frozen)",B08VBGQF1X,6.49,4.6 out of 5 stars,18,https://www.amazon.com/Alexia-Fresh-Frozen-Potatoes-Seasoning/dp/B08VBGQF1X/ref=sr_1_19_f3_0o_fs?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-19,https://m.media-amazon.com/images/I/817RPwveMSS._AC_UL400_.jpg
"Potato Sweet Orange Organic, 16 Ounce",B07FZKXQT2,2.02,4.6 out of 5 stars,"3,488",https://www.amazon.com/PRODUCE-Organic-Jewel-Sweet-Potato/dp/B07FZKXQT2/ref=sr_1_20_f3_0o_wf?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-20,https://m.media-amazon.com/images/I/41WU5qTdaBL._AC_UL400_.jpg
POTATOES RED FRESH PRODUCE 5 LBS,B0084HTU2U,8.28,3.9 out of 5 stars,123,https://www.amazon.com/POTATOES-RED-FRESH-PRODUCE-LBS/dp/B0084HTU2U/ref=sr_1_21?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-21,https://m.media-amazon.com/images/I/214DUvhIFsL._AC_UL400_.jpg
"Betty Crocker Loaded Casserole Potatoes, 4.5 oz",B01GHV1FU4,2.99,4.4 out of 5 stars,199,https://www.amazon.com/Betty-Crocker-Loaded-Casserole-Potatoes/dp/B01GHV1FU4/ref=sr_1_22?crid=3VQEK18W6IKL5&keywords=fresh+potatoes&qid=1691814261&sprefix=%2Caps%2C75&sr=8-22,https://m.media-amazon.com/images/I/81A-GvNZ5-L._AC_UL400_.jpg
