product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Healthy Snacks, Healthy Mixed Snack Box & Snacks Gift Variety Pack – Arrangement for Grab and go, work, office or Home –",B06XS6WNWW,42.79,4.6 out of 5 stars,"6,352",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDA4NjI1MDUyNDEzODczOjE2OTE4MTM5MzA6c3BfYXRmOjIwMDEzNzE5MDI1NDc5ODo6MDo6&url=%2FHealthy-Snacks-Mixed-Variety-Package%2Fdp%2FB06XS6WNWW%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgranola%2Bbars%26qid%3D1691813930%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61oJFHqQw2L._AC_UL320_.jpg
"KIND Bars, Dark Chocolate Mocha Almond, Healthy Snacks, Gluten Free, Low Sugar, 5g Protein, 12 Count",B00IZF0P98,14.22,4.7 out of 5 stars,"35,741",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDA4NjI1MDUyNDEzODczOjE2OTE4MTM5MzA6c3BfYXRmOjMwMDAyNzI5MjM5MDEwMjo6MDo6&url=%2FKIND-Healthy-Chocolate-Almond-Protein%2Fdp%2FB00IZF0P98%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgranola%2Bbars%26qid%3D1691813930%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81LxxFseHgL._AC_UL320_.jpg
"Nature Valley Sweet and Salty Granola Bars, Peanut, 30 ct",B00BSW6P80,12.49,4.7 out of 5 stars,717,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDA4NjI1MDUyNDEzODczOjE2OTE4MTM5MzA6c3BfYXRmOjIwMDA5MzYzMDg2MDc0MTo6MDo6&url=%2FNature-Valley-Snack-Sweet-Granola%2Fdp%2FB00BSW6P80%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dgranola%2Bbars%26qid%3D1691813930%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81tcznu0jfL._AC_UL320_.jpg
"KIND Cereal Breakfast Bars, Variety Pack, Chocolate with Almonds, Peanut Butter, Cinnamon with Almonds, Healthy Snacks, Gluten Free, 18 Count (Pack of 1)",B0BTK45YRZ,23.99,4.6 out of 5 stars,199,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDA4NjI1MDUyNDEzODczOjE2OTE4MTM5MzA6c3BfYXRmOjIwMDE0MDAwODc3MDY5ODo6MDo6&url=%2FKIND-Breakfast-Variety-Chocolate-Cinnamon%2Fdp%2FB0BTK45YRZ%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dgranola%2Bbars%26qid%3D1691813930%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71yEl5-KtjL._AC_UL320_.jpg
"Quaker Chewy Lower Sugar Granola Bars, Chocolate Chip, 58 Count",B077KYKYKN,13.20,4.7 out of 5 stars,"86,414",https://www.amazon.com/Quaker-Chewy-Granola-Sugar-Chocolate/dp/B077KYKYKN/ref=sr_1_5?keywords=granola+bars&qid=1691813930&sr=8-5,https://m.media-amazon.com/images/I/81utMOayKWS._AC_UL320_.jpg
"Quaker Chewy Granola Bars, Variety Pack, 18 Count",B00GHPC47O,4.94,4.7 out of 5 stars,"4,932",https://www.amazon.com/Quaker-Chewy-Granola-Variety-Count/dp/B00GHPC47O/ref=sr_1_6?keywords=granola+bars&qid=1691813930&sr=8-6,https://m.media-amazon.com/images/I/81yfQKGCjbS._AC_UL320_.jpg
"Nature Valley Crunchy Granola Bars, Oats 'n Honey, 1.49 oz, 24 ct, 48 bars",B08NBF5VCH,10.96,4.6 out of 5 stars,"7,852",https://www.amazon.com/Nature-Valley-Granola-Crunchy-Honey/dp/B08NBF5VCH/ref=sr_1_7?keywords=granola+bars&qid=1691813930&sr=8-7,https://m.media-amazon.com/images/I/81jqOpL8LWL._AC_UL320_.jpg
Nature Valley Crunchy Value Pack 30 Count,B00HG9KV6G,12.49,4.5 out of 5 stars,"11,312",https://www.amazon.com/Nature-Valley-Crunchy-Granola-Variety/dp/B00HG9KV6G/ref=sr_1_8?keywords=granola+bars&qid=1691813930&sr=8-8,https://m.media-amazon.com/images/I/81751ceWKDL._AC_UL320_.jpg
"Nature Valley Granola Bars, Sweet and Salty Nut, Variety Pack, 24 ct",B08NGF28ZL,10.96,4.7 out of 5 stars,"10,312",https://www.amazon.com/Nature-Valley-Granola-Sweet-Variety/dp/B08NGF28ZL/ref=sr_1_9?keywords=granola+bars&qid=1691813930&sr=8-9,https://m.media-amazon.com/images/I/91ov+dTyCKL._AC_UL320_.jpg
"Sunbelt Bakery Oats & Honey Chewy Granola Bars, 15-1.0 OZ Bars (1 Box)",B00FEZTJ7G,3.82,4.7 out of 5 stars,"9,111",https://www.amazon.com/Sunbelt-Bakery-Honey-Chewy-Granola/dp/B00FEZTJ7G/ref=sr_1_10?keywords=granola+bars&qid=1691813930&sr=8-10,https://m.media-amazon.com/images/I/81zB1d1WZkL._AC_UL320_.jpg
"Nature’s Bakery Gluten Free Fig Bars, Raspberry, Real Fruit, Vegan, Non-GMO, Snack bar, 6 boxes with 6 twin packs (36 twin packs)",B073VMPDWH,34.98,4.6 out of 5 stars,"7,929",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDA4NjI1MDUyNDEzODczOjE2OTE4MTM5MzA6c3BfbXRmOjMwMDAwNDQ3NzIwMjQwMjo6MDo6&url=%2FNatures-Bakery-Raspberry-Non-GMO-Packaging%2Fdp%2FB073VMPDWH%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dgranola%2Bbars%26qid%3D1691813930%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/61AxFEnwg3L._AC_UL320_.jpg
"KIND Bars, Almond & Coconut, Healthy Snacks, Gluten Free, 12 Count",B0034EDMCW,14.72,4.6 out of 5 stars,"17,257",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDA4NjI1MDUyNDEzODczOjE2OTE4MTM5MzA6c3BfbXRmOjMwMDAyNzIzODc4NzAwMjo6MDo6&url=%2FKIND-Almond-Coconut-Gluten-1-4oz%2Fdp%2FB0034EDMCW%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dgranola%2Bbars%26qid%3D1691813930%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/814r03urdXL._AC_UL320_.jpg
"Larabar Variety Pack, Blueberry Muffin, Lemon Bar, Apple Pie, Fruit & Nut Bars, 18 ct",B0BMS16JLR,20.49,4.6 out of 5 stars,459,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDA4NjI1MDUyNDEzODczOjE2OTE4MTM5MzA6c3BfbXRmOjIwMDEyOTc5MjcwNjg5ODo6MDo6&url=%2FL%25C3%2584RABAR-Variety-Blueberry-Muffin-Lemon%2Fdp%2FB0BMS16JLR%2Fref%3Dsr_1_13_sspa%3Fkeywords%3Dgranola%2Bbars%26qid%3D1691813930%26sr%3D8-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/61Cm0iOjA3L._AC_UL320_.jpg
"KIND Bars, Peanut Butter Dark Chocolate, Healthy Snacks, Gluten Free, 24 Count",B07PMTH7HM,28.44,4.7 out of 5 stars,"14,339",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDA4NjI1MDUyNDEzODczOjE2OTE4MTM5MzA6c3BfbXRmOjMwMDAyNzI2NjU2MjgwMjo6MDo6&url=%2FKIND-Peanut-Butter-Chocolate-Protein%2Fdp%2FB07PMTH7HM%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dgranola%2Bbars%26qid%3D1691813930%26sr%3D8-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/71FKtWIIGeL._AC_UL320_.jpg
"Nature Valley Sweet and Salty Granola Bars, Peanut, 30 ct",B00BSW6P80,12.49,4.7 out of 5 stars,717,https://www.amazon.com/Nature-Valley-Snack-Sweet-Granola/dp/B00BSW6P80/ref=sr_1_15?keywords=granola+bars&qid=1691813930&sr=8-15,https://m.media-amazon.com/images/I/81tcznu0jfL._AC_UL320_.jpg
"Healthy Snacks, Healthy Mixed Snack Box & Snacks Gift Variety Pack – Arrangement for Grab and go, work, office or Home –",B06XS6WNWW,42.79,4.6 out of 5 stars,"6,352",https://www.amazon.com/Healthy-Snacks-Mixed-Variety-Package/dp/B06XS6WNWW/ref=sr_1_16?keywords=granola+bars&qid=1691813930&sr=8-16,https://m.media-amazon.com/images/I/61oJFHqQw2L._AC_UL320_.jpg
"Quaker Yogurt Strawberry Blueberry Vanilla Granola Bars Variety Pack 30ct, 1.05kg/2.3lbs., {Imported from Canada}",B091G65YB8,23.00,4.6 out of 5 stars,119,https://www.amazon.com/Quaker-Strawberry-Blueberry-Vanilla-Bars/dp/B091G65YB8/ref=sr_1_17?keywords=granola+bars&qid=1691813930&sr=8-17,https://m.media-amazon.com/images/I/71ssdUTfwXL._AC_UL320_.jpg
"Nature Valley Granola Bars, Sweet and Salty Nut, Peanut, 1.2 oz, 15 ct",B0893862HY,7.28,4.8 out of 5 stars,"2,225",https://www.amazon.com/Nature-Valley-Granola-Sweet-Peanut/dp/B0893862HY/ref=sr_1_18?keywords=granola+bars&qid=1691813930&sr=8-18,https://m.media-amazon.com/images/I/81H9rGl5lAL._AC_UL320_.jpg
