product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Gerber Baby Foods 2nd Foods Meat, Ham and Gravy, Mealtime for Baby, 2.5 Ounce Jar (Pack of 10)",B0836312X4,12.40,4.7 out of 5 stars,"1,218",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDU0NjkyMTgzODYwMjE6MTY5MTgxMzYyMzpzcF9hdGY6MjAwMDM4NDc4MzUzODk4OjowOjo&url=%2FGerber-Purees-Foods-Gravy-Ounce%2Fdp%2FB0836312X4%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3NIG7G8FSQSRX%26keywords%3Dham%2Bmeat%26qid%3D1691813623%26rdc%3D1%26sprefix%3D%252Caps%252C67%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51-BEICwUML._AC_UL400_.jpg
"Hillshire Farm Ultra Thin Sliced Deli Meat, Honey Ham, 9 oz",B000Q5ZMD4,5.99,4.7 out of 5 stars,"18,189",https://www.amazon.com/Hillshire-Farm-Ultra-Sliced-Lunchmeat/dp/B000Q5ZMD4/ref=sr_1_2_f3_0o_fs?crid=3NIG7G8FSQSRX&keywords=ham+meat&qid=1691813623&sprefix=%2Caps%2C67&sr=8-2,https://m.media-amazon.com/images/I/91bS49s9Y7L._AC_UL400_.jpg
"Fresh Brand – Sliced Honey Smoked Uncured Ham, 9 oz",B07YVMYJFR,4.19,4.6 out of 5 stars,"4,809",https://www.amazon.com/Fresh-Brand-Sliced-Smoked-Uncured/dp/B07YVMYJFR/ref=sr_1_3_f3_0o_fs?crid=3NIG7G8FSQSRX&keywords=ham+meat&qid=1691813623&sprefix=%2Caps%2C67&sr=8-3,https://m.media-amazon.com/images/I/81lGeq2qVKL._AC_UL400_.jpg
"Dietz & Watson Deli-Sliced ABF Maple & Honey Uncured Ham, 16 oz.",B0BJFQRPM7,10.99,3.9 out of 5 stars,85,https://www.amazon.com/Dietz-Watson-Deli-Sliced-Maple-Uncured/dp/B0BJFQRPM7/ref=sr_1_4_f3_0o_fs?crid=3NIG7G8FSQSRX&keywords=ham+meat&qid=1691813623&sprefix=%2Caps%2C67&sr=8-4,https://m.media-amazon.com/images/I/71h80CYqzML._AC_UL400_.jpg
"365 by Whole Foods Market, Ham Black Forest Ultra Thin Sliced, 6 Ounce",B07NRL7W31,5.99,4.5 out of 5 stars,"8,194",https://www.amazon.com/365-Whole-Foods-Market-Forest/dp/B07NRL7W31/ref=sr_1_5_f3_0o_wf?crid=3NIG7G8FSQSRX&keywords=ham+meat&qid=1691813623&sprefix=%2Caps%2C67&sr=8-5,https://m.media-amazon.com/images/I/81idjwD7PTS._AC_UL400_.jpg
"Underwood Deviled Ham Meat Spread, 4.25 Ounce (Pack of 4)",B0BVDMZ846,7.48,4.4 out of 5 stars,111,https://www.amazon.com/Underwood-Deviled-Meat-Spread-Ounce/dp/B0BVDMZ846/ref=sr_1_6?crid=3NIG7G8FSQSRX&keywords=ham+meat&qid=1691813623&sprefix=%2Caps%2C67&sr=8-6,https://m.media-amazon.com/images/I/81mslZF0pZL._AC_UL400_.jpg
"Hillshire Farm Ultra Thin Sliced Smoked Ham Deli Meat, 9 oz",B0012RZS5M,5.99,4.7 out of 5 stars,"2,937",https://www.amazon.com/Hillshire-Farm-Sliced-Lunchmeat-Smoked/dp/B0012RZS5M/ref=sr_1_7_f3_0o_fs?crid=3NIG7G8FSQSRX&keywords=ham+meat&qid=1691813623&sprefix=%2Caps%2C67&sr=8-7,https://m.media-amazon.com/images/I/91iX9UsSBqL._AC_UL400_.jpg
"Black Label Natural Choice Honey Ham, 14 Oz",B00MYQNTP6,8.29,4.6 out of 5 stars,670,https://www.amazon.com/Hormel-Natural-Choice-Honey-Sliced/dp/B00MYQNTP6/ref=sr_1_8_f3_0o_fs?crid=3NIG7G8FSQSRX&keywords=ham+meat&qid=1691813623&sprefix=%2Caps%2C67&sr=8-8,https://m.media-amazon.com/images/I/81keS5MQ2nL._AC_UL400_.jpg
"Dietz & Watson Gourmet Lite Ham, 7 oz",B00ZOPC5N6,5.69,4.5 out of 5 stars,"1,830",https://www.amazon.com/Dietz-Watson-Gourmet-Lite-Ham/dp/B00ZOPC5N6/ref=sr_1_9_f3_0o_fs?crid=3NIG7G8FSQSRX&keywords=ham+meat&qid=1691813623&sprefix=%2Caps%2C67&sr=8-9,https://m.media-amazon.com/images/I/81KU3I5VuZL._AC_UL400_.jpg
"Applegate, Natural Uncured Honey Ham Sliced, 7oz",B00B8JI91Y,6.49,4.5 out of 5 stars,"2,941",https://www.amazon.com/Applegate-Natural-Uncured-Honey-Ham/dp/B00B8JI91Y/ref=sr_1_10_f3_0o_fs?crid=3NIG7G8FSQSRX&keywords=ham+meat&qid=1691813623&sprefix=%2Caps%2C67&sr=8-10,https://m.media-amazon.com/images/I/81BeGvwr7+L._AC_UL400_.jpg
"Goya Foods Cooked Ham, 16 Ounce (Pack of 12)",B005F5K6YK,66.99,4.2 out of 5 stars,737,https://www.amazon.com/Goya-Foods-Cooked-Ounce-pack/dp/B005F5K6YK/ref=sr_1_11?crid=3NIG7G8FSQSRX&keywords=ham+meat&qid=1691813623&sprefix=%2Caps%2C67&sr=8-11,https://m.media-amazon.com/images/I/61RRJCnNfrL._AC_UL400_.jpg
