product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link
"Apple iPhone 12 (256GB, White) [Locked] + Carrier Subscription",B08L5PN9K8,828.32,4.2 out of 5 stars,134,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A037867928M7975K4JIJW&qualifier=1685675827&id=4956358101338806&widgetName=sp_atf&url=%2FApple-iPhone-Locked-Carrier-Subscription%2Fdp%2FB08L5PN9K8%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3F9IPH3FR3ZMA%26keywords%3Diphone%2B12%26qid%3D1685675827%26sprefix%3D%252Caps%252C77%26sr%3D8-1-spons%26psc%3D1
"Apple iPhone 12 Mini (64GB, Purple) [Locked] + Carrier Subscription",B09339NNYW,635.80,3.9 out of 5 stars,57,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02226591VPDDMT2IVXI3&qualifier=1685675827&id=4956358101338806&widgetName=sp_atf&url=%2FApple-iPhone-Purple-Carrier-Subscription%2Fdp%2FB09339NNYW%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3F9IPH3FR3ZMA%26keywords%3Diphone%2B12%26qid%3D1685675827%26sprefix%3D%252Caps%252C77%26sr%3D8-2-spons%26psc%3D1
"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed)",B08PP5MSVB,390.91,4.3 out of 5 stars,"7,961",https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_3?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-3
"Apple iPhone 12 Mini, 64GB, Blue - Unlocked (Renewed)",B08PNN2SKF,325.00,4.2 out of 5 stars,"5,709",https://www.amazon.com/Apple-iPhone-12-Mini-64GB/dp/B08PNN2SKF/ref=sr_1_4?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-4
"Apple iPhone 12, 64GB, Red - Unlocked (Renewed Premium)",B09JFS5CJK,449.99,4.1 out of 5 stars,86,https://www.amazon.com/Apple-iPhone-12-64GB-Red/dp/B09JFS5CJK/ref=sr_1_5?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-5
"Apple iPhone 12 Mini, 64GB, White - Unlocked (Renewed Premium)",B09JFTT832,419.00,4.3 out of 5 stars,284,https://www.amazon.com/Apple-iPhone-12-Mini-White/dp/B09JFTT832/ref=sr_1_6?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-6
"Apple iPhone 12 Mini, 256GB, White - Unlocked (Renewed Premium)",B09JFPLFX5,519.00,4.5 out of 5 stars,4,https://www.amazon.com/Apple-iPhone-12-Mini-256GB/dp/B09JFPLFX5/ref=sr_1_7?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-7
"Apple iPhone 12 (256GB, Blue) [Locked] + Carrier Subscription",B08L5MJTCP,822.54,4.2 out of 5 stars,134,https://www.amazon.com/Apple-iPhone-Locked-Carrier-Subscription/dp/B08L5MJTCP/ref=sr_1_8?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-8
"Apple iPhone 12, 256GB, Green - Unlocked (Renewed Premium)",B09JFQ3P7B,580.00,4.3 out of 5 stars,7,https://www.amazon.com/Apple-iPhone-12-256GB-Green/dp/B09JFQ3P7B/ref=sr_1_9?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-9
"Apple iPhone 12, 64GB, Blue - Unlocked (Renewed Premium)",B09JFTPQY1,0,4.3 out of 5 stars,116,https://www.amazon.com/Apple-iPhone-12-64GB-Blue/dp/B09JFTPQY1/ref=sr_1_10?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-10
"Apple iPhone 12 Mini, 64GB, Black - Cricket Wireless (Renewed)",B08TF8KHDW,339.97,4.1 out of 5 stars,3,https://www.amazon.com/Apple-iPhone-Mini-64GB-Black/dp/B08TF8KHDW/ref=sr_1_11?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-11
"Apple iPhone 11, 64GB, Purple - Fully Unlocked (Renewed)",B07ZPKF8RG,315.00,4.3 out of 5 stars,"38,187",https://www.amazon.com/Apple-iPhone-11-64GB-Unlocked/dp/B07ZPKF8RG/ref=sr_1_12?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-12
"Apple iPhone 12 Pro, 128GB, Graphite - Fully Unlocked (Renewed)",B08PNP5YGV,550.00,4.2 out of 5 stars,"3,630",https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PNP5YGV/ref=sr_1_13?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-13
"Apple iPhone 13, 128GB, Pink - Unlocked (Renewed)",B09LNP1ZHT,551.89,4.4 out of 5 stars,"2,155",https://www.amazon.com/Apple-iPhone-13-128GB-Pink/dp/B09LNP1ZHT/ref=sr_1_14?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-14
"Apple iPhone 12 Pro, 128GB, Pacific Blue - Unlocked (Renewed Premium)",B09JFNMBWL,639.00,4.2 out of 5 stars,257,https://www.amazon.com/Apple-iPhone-12-Pro-Pacific/dp/B09JFNMBWL/ref=sr_1_15?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-15
"Apple iPhone 11 Pro Max, 256GB, Space Gray - Unlocked (Renewed)",B07ZQSSKY4,545.00,4.3 out of 5 stars,"13,793",https://www.amazon.com/Apple-iPhone-256GB-Space-Gray/dp/B07ZQSSKY4/ref=sr_1_16?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-16
"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",B07P6Y7954,234.99,4.5 out of 5 stars,"58,758",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_17?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-17
"Apple iPhone X, US Version, 64GB, Silver - AT&T (Renewed)",B07D6TVZ93,229.29,4.2 out of 5 stars,"23,162",https://www.amazon.com/Apple-iPhone-AT-64GB-Refurbished/dp/B07D6TVZ93/ref=sr_1_18?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-18
"Apple iPhone 14, 128GB, Purple - Unlocked (Renewed Premium)",B0BYLLR7QZ,700.00,3.5 out of 5 stars,11,https://www.amazon.com/Apple-iPhone-14-128GB-Purple/dp/B0BYLLR7QZ/ref=sr_1_19?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-19
"iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)",B0BGQMS4SB,655.00,4.4 out of 5 stars,305,https://www.amazon.com/iPhone-13-128GB-Product-Red/dp/B0BGQMS4SB/ref=sr_1_20?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-20
"Apple iPhone 13 Mini, 128GB, Midnight - Unlocked (Renewed)",B09LKTXKXQ,489.98,4.4 out of 5 stars,"1,364",https://www.amazon.com/Apple-iPhone-13-Mini-Midnight/dp/B09LKTXKXQ/ref=sr_1_21?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-21
Music Quote iPhone 12 Case - Music Phone Case for iPhone 12 - Graphic iPhone 12 Case,B0BNBHMNMZ,19.99,0,0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0534139QZ1WVBGLWIC2&qualifier=1685675827&id=4956358101338806&widgetName=sp_btf&url=%2FMusic-Quote-iPhone-12-Case%2Fdp%2FB0BNBHMNMZ%2Fref%3Dsr_1_22_sspa%3Fcrid%3D3F9IPH3FR3ZMA%26keywords%3Diphone%2B12%26qid%3D1685675827%26sprefix%3D%252Caps%252C77%26sr%3D8-22-spons%26psc%3D1
"2 Pack-Apple Earbuds/Wired Earphones/iPhone Headphones/Lightning [Apple MFi Certified] Built-in Microphone & Volume Control Compatible with iPhone 14/13/Pro/12/11/8/X/7/Pro Max, Support All iOS System",B0C5W2GGY7,22.97,0,0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08211341UB6JTCBBA8I5&qualifier=1685675827&id=4956358101338806&widgetName=sp_btf&url=%2FPack-Apple-Earphones-Headphones-Microphone-Compatible%2Fdp%2FB0C5W2GGY7%2Fref%3Dsr_1_23_sspa%3Fcrid%3D3F9IPH3FR3ZMA%26keywords%3Diphone%2B12%26qid%3D1685675827%26sprefix%3D%252Caps%252C77%26sr%3D8-23-spons%26psc%3D1%26smid%3DA3UZIIHLNVLDR0
FutureCharger 3 in 1 Wireless Charging Station Magnetic Wireless Charger Stand with Adjustable Charger [Compatible with MagSafe] for Multiple Devices: iPhone 14/13/12 Series Airpods & iWatch-Black,B0BPM2K86P,39.99,4.3 out of 5 stars,55,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0562482139DZEOT2RH5R&qualifier=1685675827&id=4956358101338806&widgetName=sp_btf&url=%2FFutureCharger-Wireless-Charging-Adjustable-Compatible%2Fdp%2FB0BPM2K86P%2Fref%3Dsr_1_24_sspa%3Fcrid%3D3F9IPH3FR3ZMA%26keywords%3Diphone%2B12%26qid%3D1685675827%26sprefix%3D%252Caps%252C77%26sr%3D8-24-spons%26psc%3D1%26smid%3DA1K824CRSB6MBW
"Apple iPhone 12 Pro Max 5G, US Version, 128GB, Graphite - Unlocked (Renewed)",B08PL89SJS,639.55,4.2 out of 5 stars,"3,153",https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PL89SJS/ref=sr_1_25?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-25
"Apple iPhone XS, US Version, 64GB, Space Gray - Unlocked (Renewed)",B07SC58QBW,227.75,4.3 out of 5 stars,"17,545",https://www.amazon.com/Apple-iPhone-64GB-Space-Gray/dp/B07SC58QBW/ref=sr_1_26?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-26
"Apple iPhone 12 Pro, 128GB, Graphite - Unlocked (Renewed Premium)",B09JF5ZHQS,646.00,4.3 out of 5 stars,143,https://www.amazon.com/Apple-iPhone-12-Pro-Graphite/dp/B09JF5ZHQS/ref=sr_1_27?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-27
"Apple iPhone XS Max, 64GB, Space Gray - For AT&T (Renewed)",B07RKYQSRB,314.96,4.4 out of 5 stars,"14,471",https://www.amazon.com/Apple-iPhone-Xs-Max-64GB/dp/B07RKYQSRB/ref=sr_1_28?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-28
Apple iPhone 11 64GB - Unlocked - 6.1-inch - White (Renewed),B08126B44P,385.00,4.6 out of 5 stars,213,https://www.amazon.com/Apple-iPhone-11-64GB-Unlocked/dp/B08126B44P/ref=sr_1_29?crid=3F9IPH3FR3ZMA&keywords=iphone+12&qid=1685675827&sprefix=%2Caps%2C77&sr=8-29
