product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Lay's Potato Chip Variety Pack, 1 Ounce (Pack of 40)",B07179XBP9,21.86,4.6 out of 5 stars,"64,695",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09120852SZQS617FWYGN&url=%2FLays-Potato-Chips-Variety-Count%2Fdp%2FB07179XBP9%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dlays%2Bchips%26qid%3D1685677655%26sr%3D8-1-spons%26psc%3D1&qualifier=1685677655&id=95612783879264&widgetName=sp_atf,https://m.media-amazon.com/images/I/81mABE1sNhL._AC_UL400_.jpg
Classic Snack Care Package,B08826B2XL,19.99,4.6 out of 5 stars,"97,117",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00360853SB29YBLVHJIV&url=%2FFrito-Lay-Ultimate-Classic-Assortment-Crackers%2Fdp%2FB08826B2XL%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dlays%2Bchips%26qid%3D1685677655%26sr%3D8-2-spons%26psc%3D1&qualifier=1685677655&id=95612783879264&widgetName=sp_atf,https://m.media-amazon.com/images/I/91eBOgTSEgL._AC_UL400_.jpg
"Lay's Kettle Cooked 40% Less Fat Jalapeño Cheddar Flavored Potato Chips, 1.375 Ounce (Pack of 64)",B00KRWAVGE,43.49,4.4 out of 5 stars,541,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03347543J90WXLUXSS1E&url=%2FLays-Kettle-Jalape%25C3%25B1o-Cheddar-Flavored%2Fdp%2FB00KRWAVGE%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dlays%2Bchips%26qid%3D1685677655%26sr%3D8-3-spons%26psc%3D1&qualifier=1685677655&id=95612783879264&widgetName=sp_atf,https://m.media-amazon.com/images/I/81Y6ujgeoIL._AC_UL400_.jpg
"Lay's Classic Potato Chips, 1 Ounce (Pack of 40)",B072M1NC4M,13.98,4.6 out of 5 stars,"64,695",https://www.amazon.com/Lays-Classic-Potato-Chips-Ounce/dp/B072M1NC4M/ref=sr_1_4?keywords=lays+chips&qid=1685677655&sr=8-4,https://m.media-amazon.com/images/I/81q0u5HDdbL._AC_UL400_.jpg
"Lay's Potato Chip Variety Pack, 1 Ounce (Pack of 40)",B07179XBP9,21.86,4.6 out of 5 stars,"64,695",https://www.amazon.com/Lays-Potato-Chips-Variety-Count/dp/B07179XBP9/ref=sr_1_5?keywords=lays+chips&qid=1685677655&sr=8-5,https://m.media-amazon.com/images/I/81mABE1sNhL._AC_UL400_.jpg
"Lay's Classic Potato Chips, 13 Oz",B07ZD56WL3,5.49,4.7 out of 5 stars,"48,799",https://www.amazon.com/Lays-Potato-Chips-Classic-Party/dp/B07ZD56WL3/ref=sr_1_6_f3?keywords=lays+chips&qid=1685677655&sr=8-6,https://m.media-amazon.com/images/I/81A9IZqezwL._AC_UL400_.jpg
"Lay's Classic Potato Chips, 1 Ounce (Pack of 104)",B00ISYNK02,36.35,4.6 out of 5 stars,"64,695",https://www.amazon.com/Lays-Classic-Potato-Chips-Ounce/dp/B00ISYNK02/ref=sr_1_7?keywords=lays+chips&qid=1685677655&sr=8-7,https://m.media-amazon.com/images/I/81KGLmJvVSL._AC_UL400_.jpg
"Lay's Classic Potato Chips, 1.5 Ounce (Pack of 64)",B000HIFA8W,36.44,4.6 out of 5 stars,"64,695",https://www.amazon.com/Lays-Classic-Potato-Chips-Ounce/dp/B000HIFA8W/ref=sr_1_8?keywords=lays+chips&qid=1685677655&sr=8-8,https://m.media-amazon.com/images/I/81io1Lmtn8L._AC_UL400_.jpg
"Lay's Potato Chips, Honey Barbecue Flavored Snacks, 7.75oz Bag",B00TS9M53E,4.39,4.7 out of 5 stars,"48,799",https://www.amazon.com/Lays-Honey-Barbecue-Flavored-Potato/dp/B00TS9M53E/ref=sr_1_9_f3?keywords=lays+chips&qid=1685677655&sr=8-9,https://m.media-amazon.com/images/I/91DsDeco4uL._AC_UL400_.jpg
"Lay's Potato Chips Barbecue Pack, 1 Ounce (Pack of 40)",B0792MBN94,0,4.6 out of 5 stars,"64,695",https://www.amazon.com/Lays-Barbecue-Flavored-Potato-Chips/dp/B0792MBN94/ref=sr_1_10?keywords=lays+chips&qid=1685677655&sr=8-10,https://m.media-amazon.com/images/I/8131oqzv+bL._AC_UL400_.jpg
