product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Stainless Steel Cosmetic Makeup Palette, Professional Cosmetic Mixing Makeup Palette Spatula Makeup Artist Tool, Beauty Salon Color Cream Mixing Palette With A Spatula Makeup Nail Art Palette",B07YV5JNMW,4.99,4.7 out of 5 stars,"5,303",https://www.amazon.com/Stainless-Cosmetic-Palette-Professional-Spatula/dp/B07YV5JNMW/ref=sr_1_1?keywords=make+up+tool&qid=1685677970&sr=8-1,https://m.media-amazon.com/images/I/4162CG4JDnL._AC_UL400_.jpg
"Eyeliner Stencils 5 in 1 Silicone Eyeliner Stencils Reusable Winged Liner for Multi-Purpose Makeup Tool, Multi-Purpose Makeup Tool for Winged Eyeliner.(Purple)",B0BLD6GBN6,8.99,3.4 out of 5 stars,45,https://www.amazon.com/Eyeliner-Stencils-Silicone-Multi-Purpose-Eyeliner/dp/B0BLD6GBN6/ref=sr_1_2?keywords=make+up+tool&qid=1685677970&sr=8-2,https://m.media-amazon.com/images/I/51cMm3r+81L._AC_UL400_.jpg
Eyeliner Stencils Pencil Liquid Liner Gel Stamp Pen For Beginners Use Thin Angled Eye Brush Waterproof Makeup Wing Tips Eyeshadow Brushes Eyebrow Kit Stencil Sharpener Black Fine Point Winged Tip Pot,B0973MNRBX,4.93,3.9 out of 5 stars,"3,696",https://www.amazon.com/Eyeliner-Stencils-Eyebrow-Stencil-Waterproof/dp/B0973MNRBX/ref=sr_1_3?keywords=make+up+tool&qid=1685677970&sr=8-3,https://m.media-amazon.com/images/I/61L3zT0Lv3L._AC_UL400_.jpg
Sibba 2 Pieces Triangle Powder Puffs Face Cosmetic Powder Puff Washable Reusable Soft Plush Powder Sponge Makeup Foundation Sponge for Face Body Loose Powder Wet Dry Makeup Tool,B0BJJS2W94,3.21,4.7 out of 5 stars,"3,584",https://www.amazon.com/Sibba-Triangle-Cosmetic-Washable-Foundation/dp/B0BJJS2W94/ref=sr_1_4?keywords=make+up+tool&qid=1685677970&sr=8-4,https://m.media-amazon.com/images/I/619zC3ebbcL._AC_UL400_.jpg
"2 PCS YASNAI Lash Clip Applicator False Eyelashes Applicator Tool for Wear Eyelashes, Lashes Buddy Makeup Tools Lash Tweezers More Convenient to Wear Lashes",B0BK1XGBTK,5.88,4.1 out of 5 stars,669,https://www.amazon.com/YASNAI-Applicator-Eyelashes-Tweezers-Convenient/dp/B0BK1XGBTK/ref=sr_1_5?keywords=make+up+tool&qid=1685677970&sr=8-5,https://m.media-amazon.com/images/I/61nh+Z1Zf4L._AC_UL400_.jpg
"SALOCY Finger Puff, 25 Pcs Finger Powder Puff Mini Makeup Sponge Puff for Foundation Concealer Cosmetic Beauty Makeup Tools",B0B6ZQ5XQN,7.88,4.8 out of 5 stars,14,https://www.amazon.com/SALOCY-Finger-Foundation-Concealer-Cosmetic/dp/B0B6ZQ5XQN/ref=sr_1_6?keywords=make+up+tool&qid=1685677970&sr=8-6,https://m.media-amazon.com/images/I/71bc6blEwcL._AC_UL400_.jpg
"12 Pcs Velour Makeup Powder Puff, ALECPEA Triangle Powder Puff for Loose Powder Cosmetic Foundation Beauty Blender Sponge Makeup Tools for Contouring, Under Eyes and Corners - 2.76inch, Black",B0BCQ17W6Z,3.99,4.7 out of 5 stars,227,https://www.amazon.com/ALECPEA-Triangle-Cosmetic-Foundation-Contouring/dp/B0BCQ17W6Z/ref=sr_1_7?keywords=make+up+tool&qid=1685677970&sr=8-7,https://m.media-amazon.com/images/I/71GelYLG0XL._AC_UL400_.jpg
"Makeup Sponge, Set Beauty Blender,Dry and Wet Use Makeup Sponges for Liquid,Powder, Cream, Multi-shape Foundation Makeup tools Makeup Egg Set (8 pcs, Pink)",B09G3JH7M7,6.99,4.6 out of 5 stars,245,https://www.amazon.com/Green-Myuu-Sponges-Multi-shape-Foundation/dp/B09G3JH7M7/ref=sr_1_8?keywords=make+up+tool&qid=1685677970&sr=8-8,https://m.media-amazon.com/images/I/41HvJqoEP5S._AC_UL400_.jpg
"URGINO 5 in 1 Silicone Eyeliner Stencils Reusable Clean Winged Liner for Eyes,Make up Tools as Eyelash Shield/Eyebrow Shaping/Jaw Line/Lip Line for Beginners(Pink)…",B0BHS85TGD,4.99,3.9 out of 5 stars,54,https://www.amazon.com/URGINO-Silicone-Eyeliner-Stencils-Beginners/dp/B0BHS85TGD/ref=sr_1_9?keywords=make+up+tool&qid=1685677970&sr=8-9,https://m.media-amazon.com/images/I/510myEtCxnL._AC_UL400_.jpg
"Eyeliner Stencils Reusable Silicone Winged Tip Eyeliner Aid Eyebrow Pencil Stencil 5 in1 Eyeliner Stencils for Hooded Eyes, Multi-Purpose Makeup Tool for Winged Eyeliner, for Beginners Makeup Tools",B0BLCY2KMG,8.99,4.0 out of 5 stars,11,https://www.amazon.com/Eyeliner-Stencils-Reusable-Multi-Purpose-Beginners/dp/B0BLCY2KMG/ref=sr_1_10?keywords=make+up+tool&qid=1685677970&sr=8-10,https://m.media-amazon.com/images/I/512wRnw4ljL._AC_UL400_.jpg
