product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"milkadamia Macadamia Milk - Creamy - 32 Fl Oz (Pack of 6) - Lactose Free Milk, Vegan Shelf Stable Milk, Plant Based Non Dairy Milk, Organic Dairy Free Macadamia Nut Milk",B01JZ0BZ6S,29.99,4.6 out of 5 stars,"4,817",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4ODkzNzg3MzY4ODQ1MDg3OjE2OTE4MDg0NTc6c3BfYXRmOjMwMDAwMjUxMzcwMzgwMjo6MDo6&url=%2FMilkadamia-Original-Macadamia-Milk-Ounce%2Fdp%2FB01JZ0BZ6S%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3Q41M3IQOERB7%26keywords%3Dmilk%26qid%3D1691808457%26sprefix%3Dmilk%252Caps%252C214%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/613DHZRXVwL._AC_UL400_.jpg
"Amazon Brand - Happy Belly Whole Milk, Gallon, 128 Ounces",B07W97CVMS,2.99,4.8 out of 5 stars,"5,912",https://www.amazon.com/Amazon-Brand-Happy-Gallon-Ounces/dp/B07W97CVMS/ref=sr_1_2_f3_0o_fs?crid=3Q41M3IQOERB7&keywords=milk&qid=1691808457&sprefix=milk%2Caps%2C214&sr=8-2,https://m.media-amazon.com/images/I/71zrVApIUKL._AC_UL400_.jpg
"Silk Shelf-Stable Almond Milk, Unsweetened Vanilla, Dairy-Free, Vegan, Non-GMO Project Verified, 1 Quart (Pack of 6)",B00PGXQ68Q,11.18,4.7 out of 5 stars,"17,587",https://www.amazon.com/Silk-Unsweetened-Flavored-Non-Dairy-Dairy-free/dp/B00PGXQ68Q/ref=sr_1_3?crid=3Q41M3IQOERB7&keywords=milk&qid=1691808457&sprefix=milk%2Caps%2C214&sr=8-3,https://m.media-amazon.com/images/I/91xdLMdIdbL._AC_UL400_.jpg
"Amazon Brand - Happy Belly Whole Milk, Half Gallon, 64 Ounces",B07WC9NK19,2.99,4.7 out of 5 stars,"3,061",https://www.amazon.com/Amazon-Brand-Happy-Gallon-Ounces/dp/B07WC9NK19/ref=sr_1_4_f3_0o_fs?crid=3Q41M3IQOERB7&keywords=milk&qid=1691808457&sprefix=milk%2Caps%2C214&sr=8-4,https://m.media-amazon.com/images/I/71c8X1G0smL._AC_UL400_.jpg
"365 by Whole Foods Market, Milk Whole, 128 Fl Oz",B074V3XKVV,4.19,4.7 out of 5 stars,"2,674",https://www.amazon.com/365-Everyday-Value-Whole-Milk/dp/B074V3XKVV/ref=sr_1_5_f3_0o_wf?crid=3Q41M3IQOERB7&keywords=milk&qid=1691808457&sprefix=milk%2Caps%2C214&sr=8-5,https://m.media-amazon.com/images/I/71jvnaMaPZL._AC_UL400_.jpg
"365 by Whole Foods Market, Milk Whole Homogenized, 64 Fl Oz",B074V3XLQ2,2.39,4.7 out of 5 stars,"1,691",https://www.amazon.com/365-Everyday-Value-Whole-Gallon/dp/B074V3XLQ2/ref=sr_1_6_f3_0o_wf?crid=3Q41M3IQOERB7&keywords=milk&qid=1691808457&sprefix=milk%2Caps%2C214&sr=8-6,https://m.media-amazon.com/images/I/61NfDk64WgL._AC_UL400_.jpg
"Horizon Organic Shelf-Stable Low Fat milk Boxes, Vanilla, 8 oz., 12 Pack",B0019K981W,12.53,4.6 out of 5 stars,"1,656",https://www.amazon.com/Horizon-Organic-Milk-Vanilla-Ounce/dp/B0019K981W/ref=sr_1_7?crid=3Q41M3IQOERB7&keywords=milk&qid=1691808457&sprefix=milk%2Caps%2C214&sr=8-7,https://m.media-amazon.com/images/I/81qr6SyZFhL._AC_UL400_.jpg
"365 by Whole Foods Market, Milk Whole Organic Homogenized, 64 Fl Oz (Packaging May Vary)",B074H4SHLR,3.99,4.7 out of 5 stars,"12,284",https://www.amazon.com/365-Everyday-Value-Organic-Whole/dp/B074H4SHLR/ref=sr_1_8_f3_0o_fs?crid=3Q41M3IQOERB7&keywords=milk&qid=1691808457&sprefix=milk%2Caps%2C214&sr=8-8,https://m.media-amazon.com/images/I/51HJAUXH+oL._AC_UL400_.jpg
"Maple Hill Creamery 100% Grass-Fed Organic Whole Milk - Ultra Pasteurized USDA Organic Whole Milk – Organic Milk for Toddlers, Kids & Adults, 64 fl oz",B06ZYNZ7NF,4.85,4.8 out of 5 stars,"6,114",https://www.amazon.com/mery-Grass-Organic-Whole-Supportibackl-248/dp/B06ZYNZ7NF/ref=sr_1_9_f3_0o_wf?crid=3Q41M3IQOERB7&keywords=milk&qid=1691808457&sprefix=milk%2Caps%2C214&sr=8-9,https://m.media-amazon.com/images/I/71K3yLgXrML._AC_UL400_.jpg
"365 by Whole Foods Market, Milk Whole Organic, 128 Fl Oz",B074H5SR5S,7.29,4.7 out of 5 stars,"16,350",https://www.amazon.com/365-Everyday-Value-Organic-Whole/dp/B074H5SR5S/ref=sr_1_10_f3_0o_wf?crid=3Q41M3IQOERB7&keywords=milk&qid=1691808457&sprefix=milk%2Caps%2C214&sr=8-10,https://m.media-amazon.com/images/I/41gZPVGDY9L._AC_UL400_.jpg
"Amazon Brand - Happy Belly 2% Reduced Fat Milk, Half Gallon, 64 Ounces",B07W842VMV,2.99,4.7 out of 5 stars,"2,030",https://www.amazon.com/Amazon-Brand-Reduced-Gallon-Ounces/dp/B07W842VMV/ref=sr_1_11_f3_0o_fs?crid=3Q41M3IQOERB7&keywords=milk&qid=1691808457&sprefix=milk%2Caps%2C214&sr=8-11,https://m.media-amazon.com/images/I/71jR-fD8rlL._AC_UL400_.jpg
"365 by Whole Foods Market, Milk 2% Homogenized, 64 Fl Oz",B074V3XLQM,2.39,4.6 out of 5 stars,"1,399",https://www.amazon.com/365-Everyday-Value-Reduced-Gallon/dp/B074V3XLQM/ref=sr_1_12_f3_0o_wf?crid=3Q41M3IQOERB7&keywords=milk&qid=1691808457&sprefix=milk%2Caps%2C214&sr=8-12,https://m.media-amazon.com/images/I/61uMUpRaJ-L._AC_UL400_.jpg
