product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
Rip Van Wafels Dutch Caramel & Vanilla Mini Stroopwafels - Low Carb/Calorie (3g Net Carbs) - Non GMO- Keto Friendly - Office Snacks - (34 Calories) - Low Sugar (1g) - 32 Pack,B07RPCSP9L,23.99,4.2 out of 5 stars,"6,787",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MzQ3MTA3ODI5Mjc2OTI6MTY5MTgxMzEwODpzcF9hdGY6MjAwMDkwODYxNjE2ODk4OjowOjo&url=%2FRip-Van-Wafels-Caramel-Stroopwafels%2Fdp%2FB07RPCSP9L%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1RC5SJMSPA7G0%26keywords%3Dsnack%2Bcakes%26qid%3D1691813108%26sprefix%3D%252Caps%252C73%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71HU94KXW+L._AC_UL400_.jpg
"Little Debbie Honey Buns, 6 Individually Wrapped Pastries, 10.6 OZ Box",B07K6BGV81,2.58,4.3 out of 5 stars,"2,175",https://www.amazon.com/Little-Debbie-Honey-Buns-10-6/dp/B07K6BGV81/ref=sr_1_2?crid=1RC5SJMSPA7G0&keywords=snack+cakes&qid=1691813108&sprefix=%2Caps%2C73&sr=8-2,https://m.media-amazon.com/images/I/81JHp82ZI5L._AC_UL400_.jpg
"Pillsbury Mini Soft Baked Cookies, Confetti, Snack Bags, 12 ct",B09ZQ41BP8,5.88,4.3 out of 5 stars,575,https://www.amazon.com/Pillsbury-Baked-Cookies-Confetti-Count/dp/B09ZQ41BP8/ref=sr_1_3?crid=1RC5SJMSPA7G0&keywords=snack+cakes&qid=1691813108&sprefix=%2Caps%2C73&sr=8-3,https://m.media-amazon.com/images/I/81RDxvRHX9L._AC_UL400_.jpg
"Little Debbie Variety Pack, 1 Box Each Of Zebra Cakes, Cosmic Brownies, Honey Buns, Oatmeal Creme Pies, and Swiss Rolls, 48 Piece Assortment",B07X43GXBS,21.50,4.6 out of 5 stars,"7,985",https://www.amazon.com/Little-Debbies-Variety-Pack-Oatmeal/dp/B07X43GXBS/ref=sr_1_4?crid=1RC5SJMSPA7G0&keywords=snack+cakes&qid=1691813108&sprefix=%2Caps%2C73&sr=8-4,https://m.media-amazon.com/images/I/91Za0wwx4nL._AC_UL400_.jpg
"Little Debbie Oatmeal Creme Pies, 12 Individually Wrapped creme pies, 16.2 Ounces, Pack of One (1)",B07K6C6278,2.68,4.6 out of 5 stars,"7,975",https://www.amazon.com/Little-Debbie-Oatmeal-Cr%C3%A8me-Pie/dp/B07K6C6278/ref=sr_1_5?crid=1RC5SJMSPA7G0&keywords=snack+cakes&qid=1691813108&sprefix=%2Caps%2C73&sr=8-5,https://m.media-amazon.com/images/I/81an7ILBWrL._AC_UL400_.jpg
"Pillsbury Soft Baked Cookies, Chocolate Chip, 9.53 oz, 18 ct",B08X2RN85C,3.18,3.7 out of 5 stars,"9,325",https://www.amazon.com/Pillsbury-Soft-Baked-Cookies-Chocolate/dp/B08X2RN85C/ref=sr_1_6?crid=1RC5SJMSPA7G0&keywords=snack+cakes&qid=1691813108&sprefix=%2Caps%2C73&sr=8-6,https://m.media-amazon.com/images/I/71HxxaTXjhL._AC_UL400_.jpg
"Pillsbury Mini Soft Baked Cookies, Chocolate Chip, Snack Bags, 12 ct",B09ZQ1RQ92,5.88,4.5 out of 5 stars,732,https://www.amazon.com/Pillsbury-Baked-Cookies-Chocolate-Count/dp/B09ZQ1RQ92/ref=sr_1_7?crid=1RC5SJMSPA7G0&keywords=snack+cakes&qid=1691813108&sprefix=%2Caps%2C73&sr=8-7,https://m.media-amazon.com/images/I/81Ffjcb-XdL._AC_UL400_.jpg
Hostess Coffee Cakes Cinnamon Streusel 2 Boxes 16 Cakes,B00A9JZHG4,16.49,4.0 out of 5 stars,192,https://www.amazon.com/Hostess-Coffee-Cakes-Cinnamon-Streusel/dp/B00A9JZHG4/ref=sr_1_8?crid=1RC5SJMSPA7G0&keywords=snack+cakes&qid=1691813108&sprefix=%2Caps%2C73&sr=8-8,https://m.media-amazon.com/images/I/91Nzt9xWc4L._AC_UL400_.jpg
"Little Debbie Donut Sticks, 6 Individually Wrapped Snack Cakes, 10 oz, Pack of one (1)",B00COJDO5I,2.79,4.1 out of 5 stars,832,https://www.amazon.com/Little-Debbie-Donut-Sticks-Count/dp/B00COJDO5I/ref=sr_1_9?crid=1RC5SJMSPA7G0&keywords=snack+cakes&qid=1691813108&sprefix=%2Caps%2C73&sr=8-9,https://m.media-amazon.com/images/I/81JyCF9D-gL._AC_UL400_.jpg
"Hostess Variety Pack | Cupcakes, Cinnamon Rolls, Danish, Ding Dongs, Twinkies, Zingers | 30 Count",B08VSHDLBS,29.99,3.8 out of 5 stars,"1,413",https://www.amazon.com/Hostess-Variety-Cupcakes-Cinnamon-Twinkies/dp/B08VSHDLBS/ref=sr_1_10?crid=1RC5SJMSPA7G0&keywords=snack+cakes&qid=1691813108&sprefix=%2Caps%2C73&sr=8-10,https://m.media-amazon.com/images/I/81btr9NEe4L._AC_UL400_.jpg
