product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Mug Root Beer Soda, 7.5 Ounce Mini Cans, 10 Pack",B0BRQRLF62,5.99,4.6 out of 5 stars,401,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTE5NTY5ODI0NDA3NTU0OjE2OTE4MDY1Mjc6c3BfYXRmOjMwMDAwNzY2MTQzMzYwMjo6MDo6&url=%2FRoot-Beer-Soda-Ounce-Mini%2Fdp%2FB0BRQRLF62%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dsoda%26qid%3D1691806527%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/711-nSTZ4IL._AC_UL400_.jpg
"Sanpellegrino Italian Sparkling Drink Melograno and Arancia, Sparkling Orange and Pomegranate Beverage, 24 Pack of 11.15 Fl Oz Cans",B09RZJ9W8Q,23.99,4.6 out of 5 stars,"33,701",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTE5NTY5ODI0NDA3NTU0OjE2OTE4MDY1Mjc6c3BfYXRmOjIwMDA5NDQ2NjgwNTE5ODo6MDo6&url=%2FSanpellegrino-Sparkling-Melograno-Pomegranate-Beverage%2Fdp%2FB09RZJ9W8Q%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dsoda%26qid%3D1691806527%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/818DCA0MqiL._AC_UL400_.jpg
"Pepsi Soda, Mini Cans, 7.5 Ounce (Pack of 10)",B07BYYQD2B,4.88,4.6 out of 5 stars,"37,536",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTE5NTY5ODI0NDA3NTU0OjE2OTE4MDY1Mjc6c3BfYXRmOjIwMDAxMjY0NTA4ODM3MTo6MDo6&url=%2FPepsi-Soda-Ounce-Mini-Cans%2Fdp%2FB07BYYQD2B%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dsoda%26qid%3D1691806527%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71J0Y0pf6IL._AC_UL400_.jpg
"Murai - 16 Soda Variety Bundle | Multi Flavor Soft Drink Pack | Assortment of Cola, Pepsi, Sprite, Mountain Dew, Dr. Pepper, Sunkist, Canada Dry Ginger Ale, Brisk Iced Tea | The Beverage Care Package",B09VZRJRXY,29.99,4.2 out of 5 stars,374,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTE5NTY5ODI0NDA3NTU0OjE2OTE4MDY1Mjc6c3BfYXRmOjMwMDAyODE5ODI4NDYwMjo6MDo6&url=%2FMurai-Variety-Assortment-Mountain-Beverage%2Fdp%2FB09VZRJRXY%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dsoda%26qid%3D1691806527%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81JLNKLTLGL._AC_UL400_.jpg
"Sunkist Orange Soda, 12 fl oz cans, 12 pack",B005JCC1CY,6.49,4.7 out of 5 stars,"1,646",https://www.amazon.com/7-UP-Sunkist-Orange-Drink-12-Ounce/dp/B005JCC1CY/ref=sr_1_5?keywords=soda&qid=1691806527&sr=8-5,https://m.media-amazon.com/images/I/91iMO85leAS._AC_UL400_.jpg
"Mountain Dew Soda, Mini Cans, 7.5 Fl Oz (Pack of 10)",B07CBKMHSW,4.88,4.7 out of 5 stars,"12,090",https://www.amazon.com/Mountain-Dew-Soda-Ounce-Mini/dp/B07CBKMHSW/ref=sr_1_6?keywords=soda&qid=1691806527&sr=8-6,https://m.media-amazon.com/images/I/81f49NcYvkL._AC_UL400_.jpg
"RC Cola Soda, 12 fl oz cans, 12 pack",B002U5E3EC,6.49,4.7 out of 5 stars,119,https://www.amazon.com/RC-Cola-12-Can-Pack/dp/B002U5E3EC/ref=sr_1_7?keywords=soda&qid=1691806527&sr=8-7,https://m.media-amazon.com/images/I/51crdo1G0tL._AC_UL400_.jpg
"A&W Cream Soda, 12 fl oz cans, 12 pack",B0C8PHZ2F4,6.49,1.0 out of 5 stars,1,https://www.amazon.com/Cream-Soda-12-cans-pack/dp/B0C8PHZ2F4/ref=sr_1_8?keywords=soda&qid=1691806527&sr=8-8,https://m.media-amazon.com/images/I/91019v-AydL._AC_UL400_.jpg
"Bundaberg Soda Root Beer, 12.68 Fl Oz Cans, 4 Pack",B00Z9RW2MI,6.99,4.5 out of 5 stars,"4,213",https://www.amazon.com/Bundaberg-Soda-Root-Beer-375mL/dp/B00Z9RW2MI/ref=sr_1_9?keywords=soda&qid=1691806527&sr=8-9,https://m.media-amazon.com/images/I/91sBjJA1J-L._AC_UL400_.jpg
18 Pack BGM Assortment of Soda Refrigerator Restock Kit (Pack of 18),B09XVNLHKV,34.99,4.3 out of 5 stars,111,https://www.amazon.com/Pack-BGM-Assortment-Refrigerator-Restock/dp/B09XVNLHKV/ref=sr_1_10?keywords=soda&qid=1691806527&sr=8-10,https://m.media-amazon.com/images/I/81pAlAAXUvL._AC_UL400_.jpg
"MTN DEW Summer Freeze 3 Flavor Variety Pack, 12oz 18pk, Limited-Time Only",B0BTZRXRSW,15.99,4.7 out of 5 stars,"12,090",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTE5NTY5ODI0NDA3NTU0OjE2OTE4MDY1Mjc6c3BfbXRmOjMwMDAxMjk1OTY4MDUwMjo6MDo6&url=%2FSummer-Freeze-Flavor-Variety-Limited-Time%2Fdp%2FB0BTZRXRSW%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dsoda%26qid%3D1691806527%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/91rNxhRuAHL._AC_UL400_.jpg
"Pepsi Nitro, Draft Cola & Vanilla Draft Cola Variety Pack, 13.65oz Cans (12 Pack)",B09QQRF45G,27.55,4.2 out of 5 stars,"1,090",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTE5NTY5ODI0NDA3NTU0OjE2OTE4MDY1Mjc6c3BfbXRmOjIwMDA1NzE5MDY5Mzc5ODo6MDo6&url=%2FPepsi-Nitro-Vanilla-Variety-13-65oz%2Fdp%2FB09QQRF45G%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsoda%26qid%3D1691806527%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/81Ub-eem7OL._AC_UL400_.jpg
"Soft Drink Assortment: Cola, Pepsi, Sprite, Mountain Dew, Dr. Pepper, Sunkist, Canada Dry Ginger Ale, Brisk Iced Tea - 12 Fl Oz (18 Pack)",B0C5S8BCNY,32.95,4.4 out of 5 stars,19,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTE5NTY5ODI0NDA3NTU0OjE2OTE4MDY1Mjc6c3BfbXRmOjIwMDE3NDIwNTQ2ODE5ODo6MDo6&url=%2FSoft-Drink-Assortment-Mountain-Sunkist%2Fdp%2FB0C5S8BCNY%2Fref%3Dsr_1_13_sspa%3Fkeywords%3Dsoda%26qid%3D1691806527%26sr%3D8-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/710xDuZvZRL._AC_UL400_.jpg
"Izze Sparkling Juice, 4 Flavor Variety Pack, 8.4 Fl Oz (24 Count)",B00XA0DP86,17.44,4.7 out of 5 stars,"35,556",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTE5NTY5ODI0NDA3NTU0OjE2OTE4MDY1Mjc6c3BfbXRmOjMwMDAxMDY2MTg1NjcwMjo6MDo6&url=%2FSparkling-Juice-Flavor-Variety-Count%2Fdp%2FB00XA0DP86%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dsoda%26qid%3D1691806527%26sr%3D8-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/91C2Rl4V4FL._AC_UL400_.jpg
