product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Fusion Red Verjus, 750 ml",B0029AFEHI,26.99,4.1 out of 5 stars,26,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0OTA0NTQxNTQzOTkxMzQxOjE2OTE4MTM3Mjc6c3BfYXRmOjIwMDA5MzcyNjQ0NjE5ODo6MDo6&url=%2FRed-Verjus-Fusion-750-ml%2Fdp%2FB0029AFEHI%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwine%26qid%3D1691813727%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA22JY8GR22KXTP,https://m.media-amazon.com/images/I/31gfcbcJuEL._AC_UL320_.jpg
"Seaglass Pinot Gris, 750 ML",B07G4S5CFK,10.99,4.6 out of 5 stars,21,https://www.amazon.com/Seaglass-Pinot-Gris-750ml/dp/B07G4S5CFK/ref=sr_1_2_f3_0o_wf?keywords=wine&qid=1691813727&sr=8-2,https://m.media-amazon.com/images/I/41M1Yl7C79L._AC_UL320_.jpg
"DANCING CROW VINEYARD Cabernet Sauvignon 750ml, 750 ML",B079NCL58M,16.99,4.4 out of 5 stars,22,https://www.amazon.com/DANCING-CROW-VINEYARD-Cabernet-Sauvignon/dp/B079NCL58M/ref=sr_1_3_f3_0o_wf?keywords=wine&qid=1691813727&sr=8-3,https://m.media-amazon.com/images/I/610mRi4X9EL._AC_UL320_.jpg
"Folly of the Beast Pinot Noir, Central Coast A.V.A., California, 750ml",B07PMFF9YS,17.99,4.6 out of 5 stars,35,https://www.amazon.com/FOLLY-BEAST-Pinot-Noir-750/dp/B07PMFF9YS/ref=sr_1_4_f3_0o_wf?keywords=wine&qid=1691813727&sr=8-4,https://m.media-amazon.com/images/I/61ggCfnDBAL._AC_UL320_.jpg
"PRISMA Sauvignon Blanc, 750 ML",B07G4TL9VK,15.49,4.0 out of 5 stars,42,https://www.amazon.com/Prisma-Sauvignon-Blanc-750ml/dp/B07G4TL9VK/ref=sr_1_5_f3_0o_wf?keywords=wine&qid=1691813727&sr=8-5,https://m.media-amazon.com/images/I/61o3M4oEdrL._AC_UL320_.jpg
"Field Recordings Skins, 750ml, 12.1% Proof",B07PQYSCHZ,19.99,4.6 out of 5 stars,24,https://www.amazon.com/Field-Recordings-Skins-750ml-12-1/dp/B07PQYSCHZ/ref=sr_1_6_f3_0o_wf?keywords=wine&qid=1691813727&sr=8-6,https://m.media-amazon.com/images/I/610z-lYe7AL._AC_UL320_.jpg
"Domaine Bousquet, Malbec, 2015",B01F7N3Z6K,9.99,4.2 out of 5 stars,96,https://www.amazon.com/Domaine-Bousquet-Malbec-2015/dp/B01F7N3Z6K/ref=sr_1_7_f3_0o_wf?keywords=wine&qid=1691813727&sr=8-7,https://m.media-amazon.com/images/I/615KF6JDakL._AC_UL320_.jpg
"Alias Pinot Noir, 750 ML",B01B2JCHYY,12.99,3.8 out of 5 stars,39,https://www.amazon.com/Alias-Pinot-Noir-750-Ml/dp/B01B2JCHYY/ref=sr_1_8_f3_0o_wf?keywords=wine&qid=1691813727&sr=8-8,https://m.media-amazon.com/images/I/71kXDBlUkKL._AC_UL320_.jpg
"Rickshaw Pinot Noir, 750ml",B07G4HYDS5,12.99,4.4 out of 5 stars,15,https://www.amazon.com/Rickshaw-Pinot-Noir-750-mL/dp/B07G4HYDS5/ref=sr_1_9_f3_0o_wf?keywords=wine&qid=1691813727&sr=8-9,https://m.media-amazon.com/images/I/41mhUTR1OyL._AC_UL320_.jpg
"Cellers Can Blau Can Blau, 750 ml",B00658JQL0,14.99,5.0 out of 5 stars,6,https://www.amazon.com/Cellers-Can-Blau-750/dp/B00658JQL0/ref=sr_1_10_f3_0o_wf?keywords=wine&qid=1691813727&sr=8-10,https://m.media-amazon.com/images/I/61kgmhn7zBL._AC_UL320_.jpg
