product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link
TOZO W1 Wireless Charger 10W Thin Aviation Aluminum Computer Numerical Control Technology Fast Charging Pad Black (NO AC Adapter),B07FM8R7J1,10.99,4.3 out of 5 stars,"97,093",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09238442VWWCXLB4LODV&qualifier=1685676513&id=8291726485555377&widgetName=sp_atf&url=%2FTOZO-Wireless-Upgraded-Sleep-Friendly-FastCharging%2Fdp%2FB07FM8R7J1%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2YPB3MLG6L2UV%26keywords%3Dwireless%2Bcharger%26qid%3D1685676513%26sprefix%3D%252Caps%252C78%26sr%3D8-1-spons%26psc%3D1%26smid%3DA3RX0V7R69HJ3V
"Wireless Charger, 15W Max Fast Wireless Charging Pad 2-Pack Compatible with iPhone 13/13 Pro/13 Mini/13 ProMax/12/SE/11/Samsung Galaxy S21/S20/Note 10/Edge Note 20Ultra/S10, AirPods Pro… (Black)",B09SHQFVPW,20.99,4.1 out of 5 stars,"3,011",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00045911J07H2UQ25Y99&qualifier=1685676513&id=8291726485555377&widgetName=sp_atf&url=%2FWireless-Charger-Qi-Certified-Charging-Compatible%2Fdp%2FB09SHQFVPW%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2YPB3MLG6L2UV%26keywords%3Dwireless%2Bcharger%26qid%3D1685676513%26sprefix%3D%252Caps%252C78%26sr%3D8-2-spons%26psc%3D1%26smid%3DA4Q3IU4FZ7IVD
"Anker 315 Wireless Charger (Pad), 10W Max Fast Charging, Compatible with iPhone 14/13 Series, Samsung S22, AirPods, Samsung Buds, Google Buds, and More (Wall Charger Not Included)",B0B469HLNL,14.99,4.3 out of 5 stars,"1,624",https://www.amazon.com/Anker-Wireless-Charging-Compatible-Included/dp/B0B469HLNL/ref=sr_1_3?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-3
"INIU Wireless Charger, 15W Fast Wireless Charging Station with Sleep-Friendly Adaptive Light Compatible with iPhone 14 13 12 Pro XR XS 8 Plus Samsung Galaxy S23 S22 S21 S20 Note 20 10 Google LG etc",B08LVSFN4X,15.99,4.3 out of 5 stars,"18,745",https://www.amazon.com/INIU-Wireless-Qi-Certified-Sleep-Friendly-Compatible/dp/B08LVSFN4X/ref=sr_1_4?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-4
"Apple MagSafe Charger - Wireless Charger with Fast Charging Capability, Type C Wall Charger, Compatible with iPhone and AirPods",B08L5NP6NG,31.00,4.5 out of 5 stars,"59,209",https://www.amazon.com/Apple-MHXH3AM-A-MagSafe-Charger/dp/B08L5NP6NG/ref=sr_1_5?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-5
"Yootech Wireless Charger,10W Max Fast Wireless Charging Pad Compatible with iPhone 14/14 Plus/14 Pro/14 Pro Max/13/13 Mini/SE 2022/12/11/X/8,Samsung Galaxy S22/S21/S20,AirPods Pro 2(No AC Adapter)",B079KZ49PJ,13.99,4.3 out of 5 stars,"191,716",https://www.amazon.com/Wireless-Qi-Certified-Charging-Compatible-Qi-Enabled/dp/B079KZ49PJ/ref=sr_1_6?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-6
"Charging Station for Multiple Devices Apple - DNTGVUP Foldable 3 in 1 Wireless Charger for iPhone 14/13/12/Pro/Plus/11/XS/XR/X/8, Charger Stand Compatible with Apple Watch S2-S7/SE and AirPods Black",B0B3R2Q55F,29.98,4.3 out of 5 stars,977,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0311258EDE61TLJOL8D&qualifier=1685676513&id=8291726485555377&widgetName=sp_mtf&url=%2FCharging-Station-Multiple-Devices-Apple%2Fdp%2FB0B3R2Q55F%2Fref%3Dsr_1_7_sspa%3Fcrid%3D2YPB3MLG6L2UV%26keywords%3Dwireless%2Bcharger%26qid%3D1685676513%26sprefix%3D%252Caps%252C78%26sr%3D8-7-spons%26psc%3D1
"Wireless Charger, 3 in 1 Wireless Charging Station, Fast Wireless Charger Stand for iPhone 14/13/12/11/Pro/Max/XS/XR/X/8/Plus, for Apple Watch 8/7/6/5/4/3/2/SE, for AirPods 3/2/Pro(Black)",B0B76XG3B8,29.99,4.5 out of 5 stars,"16,105",https://www.amazon.com/Wireless-Charger-Charging-Station-AirPods/dp/B0B76XG3B8/ref=sr_1_8?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-8
"Anker 313 Wireless Charger (Stand), Qi-Certified for iPhone 14/14 Pro/14 Pro Max/13/13 Pro Max, 10W Fast-Charging Galaxy S20, S10 (No AC Adapter)",B07DBXZZN3,18.99,4.6 out of 5 stars,"86,443",https://www.amazon.com/Anker-Qi-Certified-Compatible-Fast-Charging-PowerWave/dp/B07DBXZZN3/ref=sr_1_9?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-9
"Wireless Charger, 15W Max Fast Wireless Charging Pad 2-Pack Compatible with iPhone 13/13 Pro/13 Mini/13 ProMax/12/SE/11/Samsung Galaxy S21/S20/Note 10/Edge Note 20Ultra/S10, AirPods Pro… (Black)",B09SHQFVPW,20.99,4.1 out of 5 stars,"3,011",https://www.amazon.com/Wireless-Charger-Qi-Certified-Charging-Compatible/dp/B09SHQFVPW/ref=sr_1_10?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-10
